Year,Industry_Group,Informal_Pct
2015,Agriculture Forestry and Fishing,86.3
2015,Construction Electricity Gas Steam Water Supply Sewerage Waste Management,79.8
2015,Accommodation and Food Services,55.5
2015,Manufacturing,49.1
2015,Education,16.8
2016,Agriculture Forestry and Fishing,87.5
2016,Construction Electricity Gas Steam Water Supply Sewerage Waste Management,82.2
2016,Accommodation and Food Services,57.9
2016,Manufacturing,48.7
2016,Education,19.5
2017,Agriculture Forestry and Fishing,85.8
2017,Construction Electricity Gas Steam Water Supply Sewerage Waste Management,77.2
2017,Accommodation and Food Services,56.2
2017,Manufacturing,48.9
2017,Education,15.0
2018,Agriculture Forestry and Fishing,88.0
2018,Construction Electricity Gas Steam Water Supply Sewerage Waste Management,77.0
2018,Accommodation and Food Services,55.1
2018,Manufacturing,46.0
2018,Education,14.6
2019,Agriculture Forestry and Fishing,89.0
2019,Construction Electricity Gas Steam Water Supply Sewerage Waste Management,75.4
2019,Accommodation and Food Services,56.5
2019,Manufacturing,44.2
2019,Education,13.4
2020,Agriculture Forestry and Fishing,89.0
2020,Construction Electricity Gas Steam Water Supply Sewerage Waste Management,75.9
2020,Accommodation and Food Services,55.9
2020,Manufacturing,44.3
2020,Education,13.1
2021,Agriculture Forestry and Fishing,88.8
2021,Construction Electricity Gas Steam Water Supply Sewerage Waste Management,75.9
2021,Accommodation and Food Services,61.1
2021,Manufacturing,44.1
2021,Education,10.6
2022,Agriculture Forestry and Fishing,87.8
2022,Construction Electricity Gas Steam Water Supply Sewerage Waste Management,75.1
2022,Accommodation and Food Services,61.8
2022,Manufacturing,43.0
2022,Education,13.4
2023,Agriculture Forestry and Fishing,88.9
2023,Construction Electricity Gas Steam Water Supply Sewerage Waste Management,77.3
2023,Accommodation and Food Services,60.3
2023,Manufacturing,42.4
2023,Education,14.4
2024,Agriculture Forestry and Fishing,88.4
2024,Construction Electricity Gas Steam Water Supply Sewerage Waste Management,75.6
2024,Accommodation and Food Services,53.9
2024,Manufacturing,40.2
2024,Education,12.3
