Year,District,Informal_NonAgri_Pct
2015,Total,49.2
2015,Colombo,43.3
2015,Gampaha,40.8
2015,Kalutara,46.9
2015,Kandy,50.8
2015,Matale,47.1
2015,Nuwara Eliya,48.6
2015,Galle,51.6
2015,Matara,49.3
2015,Hambantota,56.9
2015,Jaffna,51.1
2015,Mannar,58.8
2015,Vavunia,47.4
2015,Mullativu,66.0
2015,Kilinochchi,63.1
2015,Batticaloa,65.9
2015,Ampara,57.5
2015,Trincomalee,52.6
2015,Kurunegala,56.2
2015,Puttalam,64.2
2015,Anuradhapura,48.0
2015,Polonnaruwa,48.3
2015,Badulla,54.2
2015,Monaragala,52.5
2015,Ratnapura,48.1
2015,Kegalle,48.9
2016,Total,50.1
2016,Colombo,40.3
2016,Gampaha,40.5
2016,Kalutara,51.3
2016,Kandy,54.1
2016,Matale,54.3
2016,Nuwara Eliya,50.5
2016,Galle,53.5
2016,Matara,49.8
2016,Hambantota,57.8
2016,Jaffna,62.4
2016,Mannar,57.4
2016,Vavunia,47.9
2016,Mullativu,68.4
2016,Kilinochchi,62.0
2016,Batticaloa,59.6
2016,Ampara,58.4
2016,Trincomalee,59.9
2016,Kurunegala,54.8
2016,Puttalam,65.4
2016,Anuradhapura,50.6
2016,Polonnaruwa,50.5
2016,Badulla,45.2
2016,Monaragala,52.7
2016,Ratnapura,50.7
2016,Kegalle,50.8
2017,Total,48.2
2017,Colombo,42.0
2017,Gampaha,37.9
2017,Kalutara,43.6
2017,Kandy,48.1
2017,Matale,53.7
2017,Nuwara Eliya,41.7
2017,Galle,53.5
2017,Matara,55.7
2017,Hambantota,55.3
2017,Jaffna,58.5
2017,Mannar,52.5
2017,Vavunia,49.2
2017,Mullativu,61.8
2017,Kilinochchi,59.5
2017,Batticaloa,61.7
2017,Ampara,51.9
2017,Trincomalee,50.0
2017,Kurunegala,53.5
2017,Puttalam,64.4
2017,Anuradhapura,52.9
2017,Polonnaruwa,49.6
2017,Badulla,53.1
2017,Monaragala,56.0
2017,Ratnapura,48.4
2017,Kegalle,44.5
2018,Total,48.7
2018,Colombo,40.0
2018,Gampaha,37.0
2018,Kalutara,45.9
2018,Kandy,47.8
2018,Matale,54.6
2018,Nuwara Eliya,32.7
2018,Galle,52.4
2018,Matara,50.8
2018,Hambantota,61.9
2018,Jaffna,54.3
2018,Mannar,54.8
2018,Vavunia,52.2
2018,Mullativu,60.0
2018,Kilinochchi,55.4
2018,Batticaloa,67.9
2018,Ampara,54.8
2018,Trincomalee,56.0
2018,Kurunegala,55.4
2018,Puttalam,67.0
2018,Anuradhapura,52.1
2018,Polonnaruwa,53.7
2018,Badulla,56.7
2018,Monaragala,47.4
2018,Ratnapura,57.7
2018,Kegalle,45.8
2019,Total,46.7
2019,Colombo,37.4
2019,Gampaha,38.7
2019,Kalutara,42.0
2019,Kandy,46.8
2019,Matale,48.8
2019,Nuwara Eliya,33.0
2019,Galle,55.7
2019,Matara,49.7
2019,Hambantota,58.7
2019,Jaffna,46.1
2019,Mannar,53.4
2019,Vavunia,56.2
2019,Mullativu,61.8
2019,Kilinochchi,56.3
2019,Batticaloa,56.6
2019,Ampara,48.3
2019,Trincomalee,49.7
2019,Kurunegala,51.2
2019,Puttalam,65.9
2019,Anuradhapura,50.8
2019,Polonnaruwa,46.7
2019,Badulla,51.7
2019,Monaragala,46.7
2019,Ratnapura,53.1
2019,Kegalle,50.6
2020,Total,46.6
2020,Colombo,36.9
2020,Gampaha,39.8
2020,Kalutara,42.3
2020,Kandy,46.3
2020,Matale,50.3
2020,Nuwara Eliya,38.4
2020,Galle,48.8
2020,Matara,48.4
2020,Hambantota,61.9
2020,Jaffna,54.7
2020,Mannar,52.8
2020,Vavunia,52.3
2020,Mullativu,62.1
2020,Kilinochchi,53.3
2020,Batticaloa,54.0
2020,Ampara,55.8
2020,Trincomalee,47.4
2020,Kurunegala,52.8
2020,Puttalam,64.1
2020,Anuradhapura,41.6
2020,Polonnaruwa,50.5
2020,Badulla,51.3
2020,Monaragala,48.6
2020,Ratnapura,50.8
2020,Kegalle,49.0
2021,Total,47.0
2021,Colombo,36.1
2021,Gampaha,42.5
2021,Kalutara,43.6
2021,Kandy,49.7
2021,Matale,48.6
2021,Nuwara Eliya,37.8
2021,Galle,51.7
2021,Matara,50.2
2021,Hambantota,52.7
2021,Jaffna,54.0
2021,Mannar,53.2
2021,Vavunia,54.9
2021,Mullativu,53.8
2021,Kilinochchi,50.6
2021,Batticaloa,58.4
2021,Ampara,54.1
2021,Trincomalee,50.7
2021,Kurunegala,50.3
2021,Puttalam,64.0
2021,Anuradhapura,45.2
2021,Polonnaruwa,46.2
2021,Badulla,50.7
2021,Monaragala,46.3
2021,Ratnapura,49.2
2021,Kegalle,51.3
2022,Total,46.5
2022,Colombo,38.4
2022,Gampaha,41.6
2022,Kalutara,38.7
2022,Kandy,45.1
2022,Matale,51.3
2022,Nuwara Eliya,42.3
2022,Galle,49.8
2022,Matara,45.9
2022,Hambantota,49.8
2022,Jaffna,54.8
2022,Mannar,60.5
2022,Vavuniya,49.0
2022,Mullativu,57.8
2022,Kilinochchi,50.1
2022,Batticaloa,48.5
2022,Ampara,51.4
2022,Trincomalee,58.6
2022,Kurunegala,52.0
2022,Puttalam,64.8
2022,Anuradhapura,52.1
2022,Polonnaruwa,48.3
2022,Badulla,47.7
2022,Monaragala,48.0
2022,Ratnapura,50.7
2022,Kegalle,44.9
2023,Total,47.1
2023,Colombo,37.5
2023,Gampaha,39.2
2023,Kalutara,39.3
2023,Kandy,49.5
2023,Matale,51.8
2023,Nuwara Eliya,53.5
2023,Galle,47.9
2023,Matara,46.6
2023,Hambantota,51.6
2023,Jaffna,45.9
2023,Mannar,47.1
2023,Vavuniya,53.8
2023,Mullativu,56.8
2023,Kilinochchi,54.3
2023,Batticaloa,56.3
2023,Ampara,54.4
2023,Trincomalee,54.1
2023,Kurunegala,55.7
2023,Puttalam,70.6
2023,Anuradhapura,48.8
2023,Polonnaruwa,48.4
2023,Badulla,51.9
2023,Monaragala,45.4
2023,Ratnapura,50.3
2023,Kegalle,49.5
2024,Total,45.9
2024,Colombo,38.3
2024,Gampaha,36.0
2024,Kalutara,42.5
2024,Kandy,44.6
2024,Matale,47.1
2024,Nuwara Eliya,45.1
2024,Galle,49.8
2024,Matara,49.8
2024,Hambantota,48.5
2024,Jaffna,53.8
2024,Mannar,47.6
2024,Vavuniya,59.1
2024,Mullativu,59.8
2024,Kilinochchi,51.2
2024,Batticaloa,54.5
2024,Ampara,51.7
2024,Trincomalee,42.8
2024,Kurunegala,53.6
2024,Puttalam,65.6
2024,Anuradhapura,45.0
2024,Polonnaruwa,44.0
2024,Badulla,45.2
2024,Monaragala,48.1
2024,Ratnapura,52.2
2024,Kegalle,49.3
