Year,Gender,Total_No,Total_Pct,Formal_No,Formal_Pct,Informal_No,Informal_Pct
2015,Total,7830976,100.0,3144478,40.2,4686498,59.8
2015,Male,5097798,100.0,1878149,36.8,3219649,63.2
2015,Female,2733178,100.0,1266329,46.3,1466849,53.7
2016,Total,7947683,100.0,3163062,39.8,4784621,60.2
2016,Male,5149948,100.0,1887388,36.6,3262560,63.4
2016,Female,2797735,100.0,1275674,45.6,1522061,54.4
2017,Total,8208179,100.0,3444286,42.0,4763893,58.0
2017,Male,5279158,100.0,2069423,39.2,3209735,60.8
2017,Female,2929021,100.0,1374863,46.9,1554158,53.1
2018,Total,8015166,100.0,3309386,41.3,4705780,58.7
2018,Male,5300310,100.0,1986765,37.5,3313545,62.5
2018,Female,2714855,100.0,1322620,48.7,1392235,51.3
2019,Total,8180693,100.0,3482505,42.6,4698187,57.4
2019,Male,5368896,100.0,2106990,39.2,3261906,60.8
2019,Female,2811796,100.0,1375515,48.9,1436281,51.1
2020,Total,7999093,100.0,3352613,41.9,4646480,58.1
2020,Male,5372947,100.0,2037376,37.9,3335571,62.1
2020,Female,2626146,100.0,1315237,50.1,1310909,49.9
2021,Total,8113507,100.0,3377780,41.6,4735727,58.4
2021,Male,5414280,100.0,2020870,37.3,3393410,62.7
2021,Female,2699228,100.0,1356910,50.3,1342318,49.7
2022,Total,8147731,100.0,3469040,42.6,4678690,57.4
2022,Male,5373965,100.0,2044657,38.0,3329308,62.0
2022,Female,2773766,100.0,1424384,51.4,1349382,48.6
2023,Total,8009916,100.0,3362722,42.0,4647195,58.0
2023,Male,5307563,100.0,1998896,37.7,3308667,62.3
2023,Female,2702354,100.0,1363826,50.5,1338528,49.5
2024,Total,7949751,100.0,3423526,43.1,4526224,56.9
2024,Male,5358554,100.0,2067661,38.6,3290893,61.4
2024,Female,2591197,100.0,1355866,52.3,1235331,47.7
