Year,Age_Group,Total_(%),Male_(%),Female_(%)
2015,Total (15 & over),46.2,25.3,64.1
2015,15-24,66.3,57.3,74.8
2015,25-34,34.6,5.8,57.2
2015,35-54,29.7,4.8,51.4
2015,55-64,46.4,22.9,65.9
2015,65+,77.5,62.2,90.1
2015,15-64,41.4,19.8,60.0
2015,25-54,31.4,5.1,53.5
2016,Total (15 & over),46.2,24.9,64.1
2016,15-24,67.3,57.1,76.7
2016,25-34,34.4,5.3,56.6
2016,35-54,29.2,4.3,50.7
2016,55-64,45.7,21.4,66.3
2016,65+,76.5,61.2,88.7
2016,15-64,41.3,19.3,60.0
2016,25-54,30.9,4.6,52.7
2017,Total (15 & over),45.9,25.5,63.4
2017,15-24,67.0,57.6,75.9
2017,25-34,32.4,5.7,54.7
2017,35-54,30.0,5.0,50.8
2017,55-64,44.5,21.4,64.7
2017,65+,75.6,60.5,87.7
2017,15-64,41.1,20.0,59.2
2017,25-54,30.7,5.2,52.0
2018,Total (15 & over),48.2,27.0,66.4
2018,15-24,70.0,60.3,79.3
2018,25-34,33.8,6.0,57.3
2018,35-54,31.5,4.7,54.1
2018,55-64,45.8,22.2,66.8
2018,65+,77.9,63.6,89.0
2018,15-64,43.1,21.1,62.3
2018,25-54,32.2,5.1,55.1
2019,Total (15 & over),47.7,27.0,65.5
2019,15-24,69.3,60.2,78.3
2019,25-34,32.9,6.3,55.3
2019,35-54,30.8,4.9,53.0
2019,55-64,46.2,22.3,66.5
2019,65+,76.5,61.5,88.3
2019,15-64,42.5,21.2,61.2
2019,25-54,31.5,5.3,53.7
2020,Total (15 & over),49.4,28.1,68.0
2020,15-24,70.8,61.2,80.2
2020,25-34,33.2,7.3,55.9
2020,35-54,32.6,5.3,56.1
2020,55-64,47.9,23.9,68.7
2020,65+,77.5,62.1,89.4
2020,15-64,44.2,22.2,63.7
2020,25-54,32.7,5.9,56.1
2021,Total (15 & over),50.1,29.0,68.2
2021,15-24,73.6,64.9,82.0
2021,25-34,32.9,7.9,54.8
2021,35-54,32.0,4.8,55.2
2021,55-64,47.5,22.1,68.9
2021,65+,78.9,63.5,90.6
2021,15-64,44.5,22.8,63.6
2021,25-54,32.3,5.8,55.1
2022,Total (15 & over),50.2,29.5,67.9
2022,15-24,74.7,66.8,82.1
2022,25-34,33.2,7.4,55.3
2022,35-54,31.8,4.6,55.0
2022,55-64,47.0,23.2,67.7
2022,65+,78.3,63.7,89.4
2022,15-64,44.6,23.2,63.4
2022,25-54,32.2,5.4,55.1
2023,Total (15 & over),51.4,31.4,68.7
2023,15-24,76.0,68.7,83.1
2023,25-34,33.5,8.7,55.1
2023,35-54,32.8,6.0,55.7
2023,55-64,47.1,23.4,68.1
2023,65+,79.0,65.2,89.2
2023,15-64,45.6,25.0,64.0
2023,25-54,33.0,6.8,55.5
2024,Total (15 & over),52.6,32.6,70.2
2024,15-24,76.2,68.5,83.7
2024,25-34,33.7,9.8,54.8
2024,35-54,33.5,6.2,57.1
2024,55-64,49.3,25.0,70.7
2024,65+,79.8,66.3,90.5
2024,15-64,46.4,25.4,65.3
2024,25-54,33.5,7.3,56.4
