Year,Number,Rate_to_Inactive_%,Gender
2015,216476,3.1,Total
2015,72724,4.1,Male
2015,143752,2.7,Female
2016,210484,2.9,Total
2016,79681,4.5,Male
2016,130803,2.4,Female
2017,230908,3.2,Total
2017,71923,3.9,Male
2017,158985,2.9,Female
2018,201403,2.6,Total
2018,77288,3.8,Male
2018,124115,2.1,Female
2019,200241,2.6,Total
2019,67635,3.3,Male
2019,132606,2.3,Female
2020,Total,251688,3.0
2020,Male,92578,4.2
2020,Female,159110,2.6
2021,Total,227858,2.7
2021,Male,93147,4.1
2021,Female,134710,2.1
2022,Total,184998,2.1
2022,Male,61285,2.6
2022,Female,123714,2.0
2023,Total,244468,2.7
2023,Male,93869,3.7
2023,Female,150599,2.4
2024,Total,178486,1.9
2024,Male,66260,2.5
2024,Female,112226,1.7
