Year,Sector,Total_No,Total_%,Male_No,Male_%,Female_No,Female_%
2015,Total,8214473,100.0,5255593,64.0,2958880,36.0
2015,Urban,1253519,100.0,839041,66.9,414478,33.1
2015,Rural,6577732,100.0,4205373,63.9,2372360,36.1
2015,Estate,383221,100.0,211179,55.1,172042,44.9
2016,Total,8310682,100.0,5303502,63.8,3007180,36.2
2016,Urban,1304325,100.0,877546,67.3,426779,32.7
2016,Rural,6637695,100.0,4221802,63.6,2415893,36.4
2016,Estate,368662,100.0,204155,55.4,164507,44.6
2017,Total,8566686,100.0,5434510,63.4,3132176,36.6
2017,Urban,1409867,100.0,934283,66.3,475584,33.7
2017,Rural,6741144,100.0,4272099,63.4,2469045,36.6
2017,Estate,415675,100.0,228128,54.9,187547,45.1
2018,Total,8387759,100.0,5464236,65.1,2923523,34.9
2018,Urban,1411795,100.0,956535,67.8,455260,32.2
2018,Rural,6584360,100.0,4284246,65.1,2300114,34.9
2018,Estate,391604,100.0,223455,57.1,168149,42.9
2019,Total,8592010,100.0,5554192,64.6,3037818,35.4
2019,Urban,1425479,100.0,927092,65.0,498387,35.0
2019,Rural,6749448,100.0,4382899,64.9,2366548,35.1
2019,Estate,417083,100.0,244200,58.5,172883,41.5
2020,Total,8466606,100.0,5598004,66.1,2868602,33.9
2020,Urban,1356058,100.0,925243,68.2,430814,31.8
2020,Rural,6706546,100.0,4435914,66.1,2270632,33.9
2020,Estate,404002,100.0,236847,58.6,167156,41.4
2021,Total,8553290,100.0,5621223,65.7,2932067,34.3
2021,Urban,1374589,100.0,907197,66.0,467392,34.0
2021,Rural,6751020,100.0,4468620,66.2,2282401,33.8
2021,Estate,427680,100.0,245406,57.4,182274,42.6
2022,Total,8547062,100.0,5580786,65.3,2966276,34.7
2022,Urban,1366370,100.0,910760,66.7,455610,33.3
2022,Rural,6766467,100.0,4426589,65.4,2339878,34.6
2022,Estate,414225,100.0,243437,58.8,170788,41.2
2023,Total,8408331,100.0,5503595,65.5,2904736,34.5
2023,Urban,1370780,100.0,908246,66.3,462534,33.7
2023,Rural,6666642,100.0,4369899,65.5,2296743,34.5
2023,Estate,370909,100.0,225450,60.8,145459,39.2
2024,Total,8315702,100.0,5525402,66.4,2790299,33.6
2024,Urban,1337711,100.0,905717,67.7,431994,32.3
2024,Rural,6615813,100.0,4400365,66.5,2215447,33.5
2024,Estate,362178,100.0,219320,60.6,142858,39.4
