Year,Category,Sector_or_Category,Age_Group,Total_(%),Male_(%),Female_(%)
2015,Age_and_Sector,Total,15-19,15.0,19.7,10.3
2015,Age_and_Sector,Total,20-24,55.5,72.4,41.2
2015,Age_and_Sector,Total,25-29,65.4,92.9,44.1
2015,Age_and_Sector,Total,30-39,67.4,96.0,44.1
2015,Age_and_Sector,Total,40+,54.0,76.2,35.1
2015,Age_and_Sector,Urban,15-19,12.6,16.1,8.9
2015,Age_and_Sector,Urban,20-24,52.9,68.5,38.6
2015,Age_and_Sector,Urban,25-29,66.1,92.2,44.9
2015,Age_and_Sector,Urban,30-39,64.4,94.6,39.2
2015,Age_and_Sector,Urban,40+,46.0,69.4,26.2
2015,Age_and_Sector,Rural,15-19,15.0,20.1,10.0
2015,Age_and_Sector,Rural,20-24,55.5,72.7,41.1
2015,Age_and_Sector,Rural,25-29,64.9,92.9,43.4
2015,Age_and_Sector,Rural,30-39,67.0,96.2,43.6
2015,Age_and_Sector,Rural,40+,55.4,77.7,36.3
2015,Age_and_Sector,Estate,15-19,24.0,27.3,21.1
2015,Age_and_Sector,Estate,20-24,67.3,87.5,52.8
2015,Age_and_Sector,Estate,25-29,72.5,97.3,53.8
2015,Age_and_Sector,Estate,30-39,84.4,97.3,73.1
2015,Age_and_Sector,Estate,40+,60.0,74.1,48.4
2015,Standardized_Age_Groups,,15 & over,53.8,74.7,35.9
2015,Standardized_Age_Groups,,15-24,33.7,42.7,25.2
2015,Standardized_Age_Groups,,25-34,65.4,94.2,42.8
2015,Standardized_Age_Groups,,35-54,70.3,95.2,48.6
2015,Standardized_Age_Groups,,55-64,53.6,77.1,34.1
2015,Standardized_Age_Groups,,65+,22.5,37.8,9.9
2015,Standardized_Age_Groups,,15-64,58.6,80.2,40.0
2015,Standardized_Age_Groups,,25-54,65.4,91.1,43.8
2016,Age_and_Sector,Total,15-19,13.8,19.1,8.5
2016,Age_and_Sector,Total,20-24,55.6,74.1,40.0
2016,Age_and_Sector,Total,25-29,65.8,92.9,44.8
2016,Age_and_Sector,Total,30-39,67.6,96.5,44.3
2016,Age_and_Sector,Total,40+,54.4,76.8,35.6
2016,Age_and_Sector,Urban,15-19,12.6,16.6,8.4
2016,Age_and_Sector,Urban,20-24,56.1,71.3,43.1
2016,Age_and_Sector,Urban,25-29,71.1,93.6,50.7
2016,Age_and_Sector,Urban,30-39,65.1,96.0,38.9
2016,Age_and_Sector,Urban,40+,47.2,73.0,25.9
2016,Age_and_Sector,Rural,15-19,13.6,19.1,8.2
2016,Age_and_Sector,Rural,20-24,55.1,74.3,38.7
2016,Age_and_Sector,Rural,25-29,64.4,92.5,43.5
2016,Age_and_Sector,Rural,30-39,67.4,96.5,44.2
2016,Age_and_Sector,Rural,40+,55.5,77.6,36.8
2016,Age_and_Sector,Estate,15-19,22.6,31.3,15.3
2016,Age_and_Sector,Estate,20-24,64.4,83.6,50.0
2016,Age_and_Sector,Estate,25-29,67.8,95.1,46.0
2016,Age_and_Sector,Estate,30-39,84.0,98.8,71.1
2016,Age_and_Sector,Estate,40+,65.0,75.5,56.1
2016,Standardized_Age_Groups,,15 & over,53.8,75.1,35.9
2016,Standardized_Age_Groups,,15-24,32.7,42.9,23.3
2016,Standardized_Age_Groups,,25-34,65.6,94.7,43.4
2016,Standardized_Age_Groups,,35-54,70.8,95.7,49.3
2016,Standardized_Age_Groups,,55-64,54.3,78.6,33.7
2016,Standardized_Age_Groups,,65+,23.5,38.8,11.3
2016,Standardized_Age_Groups,,15-64,58.7,80.7,40.0
2016,Standardized_Age_Groups,,25-54,69.1,95.4,47.3
2017,Age_and_Sector,Total,15-19,13.3,18.6,8.2
2017,Age_and_Sector,Total,20-24,57.4,73.2,43.3
2017,Age_and_Sector,Total,25-29,67.6,93.3,46.2
2017,Age_and_Sector,Total,30-39,68.1,95.9,45.1
2017,Age_and_Sector,Total,40+,54.6,76.4,36.5
2017,Age_and_Sector,Urban,15-19,11.1,15.8,6.9
2017,Age_and_Sector,Urban,20-24,54.7,69.8,41.8
2017,Age_and_Sector,Urban,25-29,69.9,92.9,49.2
2017,Age_and_Sector,Urban,30-39,66.9,96.0,42.0
2017,Age_and_Sector,Urban,40+,49.2,73.2,28.8
2017,Age_and_Sector,Rural,15-19,13.2,18.6,7.9
2017,Age_and_Sector,Rural,20-24,57.6,73.4,43.2
2017,Age_and_Sector,Rural,25-29,66.6,93.3,44.7
2017,Age_and_Sector,Rural,30-39,67.3,95.8,44.1
2017,Age_and_Sector,Rural,40+,55.8,77.5,37.6
2017,Age_and_Sector,Estate,15-19,25.2,30.8,20.1
2017,Age_and_Sector,Estate,20-24,66.1,84.4,51.0
2017,Age_and_Sector,Estate,25-29,75.1,95.0,59.4
2017,Age_and_Sector,Estate,30-39,86.5,97.1,76.2
2017,Age_and_Sector,Estate,40+,56.6,67.9,47.5
2017,Standardized_Age_Groups,,15 & over,54.1,74.5,36.6
2017,Standardized_Age_Groups,,15-24,33.0,42.4,24.1
2017,Standardized_Age_Groups,,25-34,67.6,94.3,45.3
2017,Standardized_Age_Groups,,35-54,70.0,95.0,49.2
2017,Standardized_Age_Groups,,55-64,55.5,78.6,35.3
2017,Standardized_Age_Groups,,65+,24.4,39.5,12.3
2017,Standardized_Age_Groups,,15-64,58.9,80.0,40.8
2017,Standardized_Age_Groups,,25-54,69.3,94.8,48.0
2018,Age_and_Sector,Total,15-19,11.7,16.5,6.8
2018,Age_and_Sector,Total,20-24,53.2,70.3,37.5
2018,Age_and_Sector,Total,25-29,66.3,91.7,43.7
2018,Age_and_Sector,Total,30-39,66.0,96.3,41.7
2018,Age_and_Sector,Total,40+,52.8,75.4,33.8
2018,Age_and_Sector,Urban,15-19,11.1,17.2,5.4
2018,Age_and_Sector,Urban,20-24,53.0,70.2,36.7
2018,Age_and_Sector,Urban,25-29,68.9,92.5,43.9
2018,Age_and_Sector,Urban,30-39,67.4,96.5,42.2
2018,Age_and_Sector,Urban,40+,47.9,71.9,27.9
2018,Age_and_Sector,Rural,15-19,11.5,16.1,6.7
2018,Age_and_Sector,Rural,20-24,52.9,69.9,37.3
2018,Age_and_Sector,Rural,25-29,65.3,91.4,43.0
2018,Age_and_Sector,Rural,30-39,65.0,96.3,40.4
2018,Age_and_Sector,Rural,40+,53.5,76.4,34.3
2018,Age_and_Sector,Estate,15-19,17.9,21.8,14.2
2018,Age_and_Sector,Estate,20-24,62.4,80.4,45.4
2018,Age_and_Sector,Estate,25-29,74.1,91.9,54.5
2018,Age_and_Sector,Estate,30-39,78.6,95.1,64.6
2018,Age_and_Sector,Estate,40+,59.4,70.5,49.7
2018,Standardized_Age_Groups,,15 & over,51.8,73.0,33.6
2018,Standardized_Age_Groups,,15-24,30.0,39.7,20.7
2018,Standardized_Age_Groups,,25-34,66.2,94.0,42.7
2018,Standardized_Age_Groups,,35-54,68.5,95.3,45.9
2018,Standardized_Age_Groups,,55-64,54.2,77.8,33.2
2018,Standardized_Age_Groups,,65+,22.1,36.4,11.0
2018,Standardized_Age_Groups,,15-64,56.9,78.9,37.7
2018,Standardized_Age_Groups,,25-54,67.8,94.9,44.9
2019,Age_and_Sector,Total,15-19,12.0,16.9,7.0
