Year,District,Total_(%),Male_(%),Female_(%)
2015,Colombo,50.6,72.1,31.8
2015,Gampaha,52.8,73.7,34.2
2015,Kalutara,54.3,74.9,36.3
2015,Kandy,49.6,72.3,32.1
2015,Matale,55.8,74.0,40.8
2015,Nuwara Eliya,61.7,78.1,48.8
2015,Galle,52.2,73.7,34.2
2015,Matara,53.2,73.3,35.9
2015,Hambantota,56.5,77.0,38.1
2015,Jaffna,44.0,69.7,23.2
2015,Mannar,48.2,78.1,18.9
2015,Vavunia,55.2,74.6,37.3
2015,Mullativu,48.6,72.9,27.1
2015,Kilinochchi,46.3,74.9,22.8
2015,Batticaloa,44.5,72.7,22.3
2015,Ampara,44.4,71.0,20.5
2015,Trincomalee,46.6,71.7,22.3
2015,Kurunegala,57.9,77.8,41.4
2015,Puttalam,54.2,76.4,35.1
2015,Anuradhapura,61.7,79.9,46.7
2015,Polonnaruwa,53.3,79.6,31.8
2015,Badulla,59.9,75.8,46.6
2015,Moneragala,59.3,76.9,43.7
2015,Ratnapura,59.3,77.8,42.6
2015,Kegalle,55.7,74.3,40.1
2016,Colombo,52.0,72.8,33.6
2016,Gampaha,50.7,72.6,31.5
2016,Kalutara,53.1,73.9,35.3
2016,Kandy,49.5,72.3,32.0
2016,Matale,60.0,78.5,44.3
2016,Nuwara Eliya,62.3,77.0,50.3
2016,Galle,52.2,73.2,34.7
2016,Matara,55.3,75.1,38.6
2016,Hambantota,57.0,77.8,37.5
2016,Jaffna,44.4,70.5,21.9
2016,Mannar,45.9,73.5,20.6
2016,Vavunia,53.6,76.5,35.8
2016,Mullativu,54.4,76.9,34.8
2016,Kilinochchi,45.1,69.6,24.3
2016,Batticaloa,44.5,73.3,23.0
2016,Ampara,44.5,71.3,21.0
2016,Trincomalee,47.2,76.5,22.1
2016,Kurunegala,59.1,78.1,43.6
2016,Puttalam,55.3,79.0,34.8
2016,Anuradhapura,59.3,78.3,44.3
2016,Polonnaruwa,54.7,80.6,33.0
2016,Badulla,57.9,76.5,42.4
2016,Moneragala,58.9,79.2,40.8
2016,Ratnapura,58.1,77.6,41.7
2016,Kegalle,57.6,76.7,42.6
2017,Colombo,53.8,74.1,35.9
2017,Gampaha,50.6,72.8,31.2
2017,Kalutara,53.0,73.2,35.4
2017,Kandy,52.7,74.1,36.1
2017,Matale,56.0,75.9,40.5
2017,Nuwara Eliya,62.7,76.0,51.3
2017,Galle,52.4,70.8,36.5
2017,Matara,56.6,75.8,40.3
2017,Hambantota,54.7,77.0,36.1
2017,Jaffna,46.2,69.6,27.0
2017,Mannar,46.4,69.5,23.8
2017,Vavunia,55.4,74.8,38.0
2017,Mullativu,50.9,74.8,28.6
2017,Kilinochchi,45.3,70.5,22.8
2017,Batticaloa,43.6,71.2,21.7
2017,Ampara,45.7,72.4,23.2
2017,Trincomalee,48.1,75.2,24.0
2017,Kurunegala,58.4,77.6,42.5
2017,Puttalam,55.5,78.2,36.0
2017,Anuradhapura,61.3,78.7,46.7
2017,Polonnaruwa,50.0,73.8,29.5
2017,Badulla,59.7,74.8,47.2
2017,Moneragala,56.3,77.6,37.2
2017,Ratnapura,58.1,76.8,40.9
2017,Kegalle,55.3,73.1,40.6
2018,Colombo,52.9,73.4,34.3
2018,Gampaha,48.0,70.3,28.5
2018,Kalutara,51.2,71.8,33.1
2018,Kandy,50.1,71.1,34.1
2018,Matale,55.5,74.8,39.4
2018,Nuwara Eliya,59.2,74.8,45.0
2018,Galle,49.7,69.2,32.6
2018,Matara,51.8,71.6,35.2
2018,Hambantota,52.4,75.0,32.5
2018,Jaffna,44.4,68.4,23.4
2018,Mannar,47.6,74.7,21.5
2018,Vavunia,51.1,78.2,29.8
2018,Mullativu,47.3,71.7,23.9
2018,Kilinochchi,44.9,69.4,23.3
2018,Batticaloa,45.8,74.1,22.5
2018,Ampara,46.0,73.9,21.8
2018,Trincomalee,44.1,71.8,18.5
2018,Kurunegala,54.4,75.0,37.5
2018,Puttalam,54.9,77.8,36.1
2018,Anuradhapura,57.3,77.0,41.3
2018,Polonnaruwa,49.8,73.9,28.0
2018,Badulla,55.1,72.2,40.4
2018,Moneragala,50.5,71.6,31.0
2018,Ratnapura,56.7,76.1,39.5
2018,Kegalle,54.2,72.9,38.6
2019,Colombo,52.6,71.7,35.6
2019,Gampaha,50.7,71.8,32.2
2019,Kalutara,51.1,71.1,33.5
2019,Kandy,50.1,70.2,33.3
2019,Matale,54.9,74.5,39.0
2019,Nuwara Eliya,58.5,73.5,44.6
2019,Galle,51.8,71.8,35.0
2019,Matara,50.5,70.6,32.8
2019,Hambantota,53.1,76.3,32.7
2019,Jaffna,43.6,68.4,22.9
2019,Mannar,45.9,72.8,20.8
2019,Vavunia,51.2,75.6,30.7
2019,Mullativu,45.0,72.3,20.0
2019,Kilinochchi,47.2,72.3,23.9
2019,Batticaloa,47.3,72.6,25.4
2019,Ampara,43.6,70.6,19.8
2019,Trincomalee,45.0,73.5,20.0
2019,Kurunegala,56.6,75.7,40.7
2019,Puttalam,53.8,77.0,34.6
2019,Anuradhapura,57.7,77.3,42.0
2019,Polonnaruwa,52.9,78.0,31.0
2019,Badulla,52.8,71.6,36.2
2019,Moneragala,57.9,77.7,40.7
2019,Ratnapura,57.0,75.7,40.4
2019,Kegalle,53.3,71.9,37.3
2020,Colombo,49.6,70.0,30.9
2020,Gampaha,48.6,70.0,30.2
2020,Kalutara,49.5,68.3,32.8
2020,Kandy,50.5,70.2,34.0
2020,Matale,51.0,70.9,34.1
2020,Nuwara Eliya,58.5,73.4,44.8
2020,Galle,48.9,68.3,32.4
2020,Matara,49.6,69.8,31.8
2020,Hambantota,51.7,76.1,29.9
2020,Jaffna,42.7,68.7,20.2
2020,Mannar,46.3,74.8,19.1
2020,Vavunia,51.5,80.4,28.4
2020,Mullativu,44.9,70.1,21.9
2020,Kilinochchi,42.8,66.6,21.4
2020,Batticaloa,45.1,71.8,23.2
2020,Ampara,42.7,69.4,20.0
2020,Trincomalee,41.0,70.6,15.4
2020,Kurunegala,55.3,74.7,39.3
2020,Puttalam,52.2,78.3,29.8
2020,Anuradhapura,56.4,76.8,39.7
2020,Polonnaruwa,48.2,74.8,24.8
2020,Badulla,50.4,70.1,33.2
2020,Moneragala,52.1,76.3,30.1
2020,Ratnapura,57.9,78.0,39.1
2020,Kegalle,52.1,70.4,36.6
2021,Colombo,49.2,67.8,33.0
2021,Gampaha,48.5,70.4,29.3
2021,Kalutara,48.5,66.3,33.0
2021,Kandy,48.2,68.7,30.9
2021,Matale,51.9,72.7,34.4
2021,Nuwara Eliya,57.1,74.4,42.7
2021,Galle,49.0,69.1,32.0
2021,Matara,47.1,67.5,29.2
2021,Hambantota,50.8,74.3,29.6
2021,Jaffna,41.3,67.6,19.1
2021,Mannar,57.1,77.6,39.2
2021,Vavunia,48.1,73.5,27.7
2021,Mullativu,46.7,69.8,25.0
2021,Kilinochchi,43.6,67.2,20.4
2021,Batticaloa,45.6,73.5,24.4
2021,Ampara,39.2,65.8,16.3
2021,Trincomalee,40.4,67.4,14.1
2021,Kurunegala,53.9,74.2,37.3
2021,Puttalam,52.3,75.2,32.4
2021,Anuradhapura,55.6,75.8,38.8
2021,Polonnaruwa,45.3,74.6,21.3
2021,Badulla,54.1,73.0,38.3
2021,Moneragala,57.7,80.4,37.7
2021,Ratnapura,55.6,75.1,37.4
2021,Kegalle,50.3,69.7,34.2
2022,Colombo,50.2,70.1,32.8
2022,Gampaha,49.6,69.1,33.1
2022,Kalutara,49.6,69.1,32.6
2022,Kandy,48.4,67.9,33.3
2022,Matale,53.2,73.1,36.7
2022,Nuwara Eliya,57.7,71.2,45.8
2022,Galle,50.5,67.6,35.7
2022,Matara,45.7,65.8,28.2
2022,Hambantota,49.4,71.6,29.3
2022,Jaffna,40.8,65.8,19.3
2022,Mannar,60.2,77.5,43.9
2022,Vavuniya,46.8,74.0,25.2
2022,Mullaitivu,48.1,72.5,26.0
2022,Kilinochchi,43.5,68.3,22.8
2022,Batticaloa,40.4,68.9,17.8
2022,Ampara,39.8,65.1,17.1
2022,Trincomalee,42.1,71.1,17.6
2022,Kurunegala,52.9,73.5,35.4
2022,Puttalam,51.8,75.2,31.1
2022,Anuradhapura,53.0,75.0,35.2
2022,Polonnaruwa,45.6,73.2,22.2
2022,Badulla,50.9,70.3,34.7
2022,Monaragala,54.9,77.2,33.3
2022,Rathnapura,55.9,75.5,38.1
2022,Kegalle,49.7,67.5,34.6
2023,Colombo,49.3,67.4,33.3
2023,Gampaha,47.0,66.7,29.3
2023,Kalutara,49.4,67.0,33.8
2023,Kandy,48.9,68.3,32.8
2023,Matale,48.7,68.8,32.3
2023,Nuwara Eliya,52.7,69.1,38.8
2023,Galle,49.4,67.6,33.3
2023,Matara,42.9,64.9,24.2
2023,Hambantota,50.2,71.4,31.9
2023,Jaffna,40.4,65.0,20.6
2023,Mannar,52.5,74.9,30.9
2023,Vavuniya,53.5,74.3,36.4
2023,Mullaitivu,45.7,68.5,25.5
2023,Kilinochchi,42.7,67.5,21.8
2023,Batticaloa,41.8,67.4,21.5
2023,Ampara,37.0,60.3,15.7
2023,Trincomalee,41.6,65.2,20.1
2023,Kurunegala,51.4,70.5,35.2
2023,Puttalam,53.2,76.9,32.8
2023,Anuradhapura,51.4,73.2,33.4
2023,Polonnaruwa,46.0,71.1,23.4
2023,Badulla,51.7,68.5,37.3
2023,Monaragala,53.2,78.3,31.5
2023,Rathnapura,53.3,72.7,35.6
2023,Kegalle,48.3,63.9,35.2
2024,Colombo,46.5,65.6,29.5
2024,Gampaha,46.3,66.1,28.8
2024,Kalutara,48.3,68.7,29.2
2024,Kandy,47.6,65.9,32.2
2024,Matale,48.1,67.8,30.7
2024,Nuwara Eliya,48.4,64.5,34.5
2024,Galle,48.8,65.6,34.8
2024,Matara,43.0,64.2,24.4
2024,Hambantota,48.7,67.8,30.7
2024,Jaffna,38.7,64.5,18.0
2024,Mannar,50.0,74.7,27.3
2024,Vavuniya,58.2,75.7,43.2
2024,Mullaitivu,45.0,73.5,21.4
2024,Kilinochchi,42.2,66.4,22.2
2024,Batticaloa,40.4,64.3,20.8
2024,Ampara,36.5,61.8,15.6
2024,Trincomalee,36.7,64.4,11.7
2024,Kurunegala,52.5,71.9,36.4
2024,Puttalam,48.0,72.1,27.6
2024,Anuradhapura,51.2,72.9,32.7
2024,Polonnaruwa,43.6,67.9,22.0
