Year,Sector,Total_No,Total_%,Male_No,Male_%,Female_No,Female_%
2015,Total,7067473,100.0,1781352,25.2,5286121,74.8
2015,Urban,1324940,100.0,358820,27.1,966120,72.9
2015,Rural,5518880,100.0,1359507,24.6,4159373,75.4
2015,Estate,223652,100.0,63025,28.2,160628,71.8
2016,Total,7137997,100.0,1761234,24.7,5376764,75.3
2016,Urban,1316178,100.0,331577,25.2,984601,74.8
2016,Rural,5615450,100.0,1371192,24.4,4244258,75.6
2016,Estate,206369,100.0,58464,28.3,147905,71.7
2017,Total,7277049,100.0,1857537,25.5,5419512,74.5
2017,Urban,1382978,100.0,354591,25.6,1028387,74.4
2017,Rural,5638154,100.0,1422426,25.2,4215727,74.8
2017,Estate,255917,100.0,80519,31.5,175398,68.5
2018,Total,7808473,100.0,2024084,25.9,5784390,74.1
2018,Urban,1434306,100.0,371678,25.9,1062628,74.1
2018,Rural,6110849,100.0,1565902,25.6,4544947,74.4
2018,Estate,263318,100.0,86504,32.9,176814,67.1
2019,Total,7832006,100.0,2055920,26.3,5776085,73.7
2019,Urban,1411397,100.0,383732,27.2,1027665,72.8
2019,Rural,6141983,100.0,1583951,25.8,4558032,74.2
2019,Estate,278626,100.0,88238,31.7,190388,68.3
2020,Total,8272790,100.0,2190629,26.5,6082161,73.5
2020,Urban,1531710,100.0,424485,27.7,1107224,72.3
2020,Rural,6444356,100.0,1669910,25.9,4774446,74.1
2020,Estate,296724,100.0,96234,32.4,200491,67.6
2021,Total,8580369,100.0,2294436,26.7,6285933,73.3
2021,Urban,1556727,100.0,453153,29.1,1103575,70.9
2021,Rural,6716723,100.0,1746904,26.0,4969819,74.0
2021,Estate,306919,100.0,94380,30.8,212539,69.2
2022,Total,8614911,100.0,2333850,27.1,6281061,72.9
2022,Urban,1528752,100.0,428604,28.0,1100148,72.0
2022,Rural,6794039,100.0,1816741,26.7,4977298,73.3
2022,Estate,292119,100.0,88506,30.3,203614,69.7
2023,Total,8898161,100.0,2521164,28.3,6376997,71.7
2023,Urban,1611727,100.0,476126,29.5,1135602,70.5
2023,Rural,6960457,100.0,1946764,28.0,5013693,72.0
2023,Estate,325977,100.0,98275,30.1,227702,69.9
2024,Total,9232162,100.0,2669766,28.9,6562395,71.1
2024,Urban,1678622,100.0,507817,30.3,1170806,69.7
2024,Rural,7221428,100.0,2046576,28.3,5174852,71.7
2024,Estate,332112,100.0,115374,34.7,216738,65.3
