Year,Sector,Total_(%),Male_(%),Female_(%)
2015,Total,51.2,72.4,33.1
2015,Urban,46.4,67.6,28.0
2015,Rural,51.8,73.4,33.4
2015,Estate,60.9,74.9,49.3
2016,Total,51.4,72.9,33.4
2016,Urban,47.8,70.4,28.4
2016,Rural,51.7,73.3,33.6
2016,Estate,62.1,75.9,50.5
2017,Total,51.8,72.4,34.3
2017,Urban,48.3,70.0,29.6
2017,Rural,52.2,73.0,34.5
2017,Estate,59.6,71.5,49.5
2018,Total,49.5,70.8,31.2
2018,Urban,47.6,69.6,28.3
2018,Rural,49.5,71.1,31.1
2018,Estate,57.0,69.2,46.0
2019,Total,49.8,70.5,31.9
2019,Urban,47.8,67.9,30.4
2019,Rural,49.9,71.1,31.5
2019,Estate,57.2,70.5,45.1
2020,Total,47.8,69.0,29.3
2020,Urban,44.4,65.5,25.8
2020,Rural,48.2,69.8,29.4
2020,Estate,54.9,67.6,43.5
2021,Total,47.4,68.4,29.3
2021,Urban,44.6,64.4,27.5
2021,Rural,47.5,69.2,28.9
2021,Estate,56.1,70.2,43.9
2022,Total,47.5,67.9,30.0
2022,Urban,44.8,65.3,27.2
2022,Rural,47.6,68.4,29.9
2022,Estate,55.8,69.8,43.4
2023,Total,46.3,66.1,29.1
2023,Urban,43.9,63.6,26.8
2023,Rural,46.6,66.7,29.2
2023,Estate,50.6,66.2,37.1
2024,Total,45.3,65.4,27.7
2024,Urban,42.7,62.5,25.2
2024,Rural,45.7,66.1,27.8
2024,Estate,49.4,63.2,36.5
