Year,Total_employed_No,Total_employed_(%),Agriculture_No,Agriculture_(%),Industries_No,Industries_(%),Services_No,Services_(%)
2015,7830976,100.0,2244547,28.7,2018171,25.8,3568259,45.6
2016,7947683,100.0,2153874,27.1,2097503,26.4,3696306,46.5
2017,8208179,100.0,2140185,26.1,2331494,28.4,3736500,45.5
2018,8015166,100.0,2043698,25.5,2239262,27.9,3732206,46.6
2019,8180693,100.0,2071940,25.3,2258421,27.6,3850332,47.1
2020,7999093,,2169679,27.1,2152746,26.9,3676668,46.0
2021,8113507,,2213015,27.3,2109482,26.0,3791011,46.7
2022,8147731,,2158559,26.5,2158199,26.5,3830973,47.0
2023,8009916,,2088344,26.1,2043154,25.5,3878418,48.4
2024,7949751,,2066651,26.0,2031417,25.6,3851683,48.5
