Year,District,Employee_(%),Self_Employed_Employer_(%),Self_Employed_Own_account_worker_(%),Self_Employed_Contributing_family_worker_(%)
2015,Total,56.1,3.1,32.3,8.4
2015,Colombo,65.4,6.6,24.7,3.2
2015,Gampaha,66.0,4.6,25.3,4.1
2015,Kalutara,64.6,3.2,27.0,5.3
2015,Kandy,58.9,3.2,29.2,8.7
2015,Matale,42.3,2.9,38.6,16.2
2015,Nuwara Eliya,62.5,1.2,29.6,6.7
2015,Galle,59.8,2.6,30.5,7.1
2015,Matara,58.7,3.6,30.0,7.7
2015,Hambantota,39.5,1.4,48.2,10.9
2015,Jaffna,63.9,3.9,29.4,2.9
2015,Mannar,56.2,1.1,37.4,5.2
2015,Vavunia,58.4,3.8,34.3,3.5
2015,Mullativu,55.1,N/A,42.6,2.3
2015,Kilinochchi,58.6,3.6,36.3,1.5
2015,Batticaloa,56.1,2.4,39.6,2.0
2015,Ampara,55.5,1.6,36.9,6.0
2015,Trincomalee,61.3,0.5,35.4,2.8
2015,Kurunegala,48.9,2.3,37.5,11.4
2015,Puttalam,50.2,5.8,34.4,9.6
2015,Anuradhapura,35.9,0.7,41.7,21.7
2015,Polonnaruwa,42.0,1.5,46.0,10.5
2015,Badulla,47.3,0.4,34.3,18.0
2015,Moneragala,33.2,0.6,43.3,22.9
2015,Ratnapura,54.5,3.0,33.1,9.4
2015,Kegalle,64.4,1.8,28.9,4.9
2016,Total,57.8,2.7,31.6,7.8
2016,Colombo,69.3,4.9,22.5,3.3
2016,Gampaha,68.6,3.1,25.1,3.2
2016,Kalutara,63.1,3.0,29.2,4.7
2016,Kandy,60.3,3.4,30.3,5.9
2016,Matale,43.1,2.4,38.5,16.1
2016,Nuwara Eliya,61.6,0.2,27.3,10.9
2016,Galle,61.3,2.6,29.6,6.5
2016,Matara,59.9,2.3,29.7,8.1
2016,Hambantota,44.5,2.6,44.3,8.7
2016,Jaffna,66.9,4.5,25.6,2.9
2016,Mannar,60.9,3.5,33.1,2.5
2016,Vavunia,52.4,1.8,40.3,5.5
2016,Mullativu,47.6,0.7,41.6,10.1
2016,Kilinochchi,65.0,1.4,32.4,1.1
2016,Batticaloa,65.0,1.3,31.4,2.3
2016,Ampara,58.4,1.2,36.1,4.3
2016,Trincomalee,57.1,0.6,38.7,3.5
2016,Kurunegala,50.5,3.2,35.0,11.3
2016,Puttalam,52.9,4.9,33.8,8.4
2016,Anuradhapura,38.3,1.0,41.4,19.3
2016,Polonnaruwa,44.9,0.9,42.3,11.9
2016,Badulla,46.0,1.4,35.3,17.4
2016,Moneragala,35.9,0.7,44.4,19.0
2016,Ratnapura,55.9,3.0,33.8,7.4
2016,Kegalle,63.1,1.4,29.6,5.9
2017,Total,57.7,3.0,31.3,8.0
2017,Colombo,65.4,6.5,23.7,4.4
2017,Gampaha,66.8,4.1,25.0,4.1
2017,Kalutara,69.0,1.6,25.1,4.4
2017,Kandy,57.6,3.8,31.2,7.3
2017,Matale,45.8,2.4,35.7,16.2
2017,Nuwara Eliya,60.8,1.1,26.0,12.2
2017,Galle,63.0,2.9,27.6,6.5
2017,Matara,57.0,3.3,31.5,8.1
2017,Hambantota,47.1,1.4,40.1,11.4
2017,Jaffna,62.4,3.0,32.3,2.2
2017,Mannar,57.7,2.5,36.1,3.8
2017,Vavunia,53.4,1.5,39.8,5.3
2017,Mullativu,48.1,1.4,46.0,4.5
2017,Kilinochchi,62.4,2.6,34.2,0.8
2017,Batticaloa,61.7,1.2,34.3,2.8
2017,Ampara,58.3,3.1,34.8,3.9
2017,Trincomalee,64.2,1.3,31.3,3.2
2017,Kurunegala,51.1,2.4,36.6,9.9
2017,Puttalam,57.7,4.5,29.8,8.0
2017,Anuradhapura,38.3,1.2,41.6,18.9
