Year,Gender,Category,Total,Urban,Rural,Estate
2015,Total,Number,383496.0,75282.0,293127.0,15086.0
2015,Total,Rate,4.7,4.6,4.8,3.5
2015,Male,Number,157795.0,25821.0,119456.0,12518.0
2015,Male,Rate,3.0,3.5,2.9,2.7
2015,Female,Number,225702.0,49461.0,173671.0,2569.0
2015,Female,Rate,7.6,6.7,8.0,4.6
2016,Total,Number,362999.0,62480.0,272139.0,28379.0
2016,Total,Rate,4.4,4.0,4.5,3.1
2016,Male,Number,153554.0,23418.0,115201.0,14935.0
2016,Male,Rate,2.9,3.0,2.9,2.3
2016,Female,Number,209445.0,39062.0,156938.0,13444.0
2016,Female,Rate,7.0,6.2,7.3,4.1
2017,Total,Number,358507.0,64234.0,262893.0,31379.0
2017,Total,Rate,4.2,4.4,4.2,3.7
2017,Male,Number,155352.0,25123.0,114231.0,15998.0
2017,Male,Rate,2.9,3.4,2.7,3.3
2017,Female,Number,203155.0,39111.0,148662.0,15381.0
2017,Female,Rate,6.5,6.3,6.7,4.2
2018,Total,Number,372593.0,70891.0,271234.0,30468.0
2018,Total,Rate,4.4,4.1,4.5,4.7
2018,Male,Number,163926.0,28934.0,119472.0,15520.0
2018,Male,Rate,3.0,3.4,2.9,4.0
2018,Female,Number,208667.0,41957.0,151762.0,14948.0
2018,Female,Rate,7.1,5.7,7.5,5.7
2019,Total,Number,411318.0,89123.0,289456.0,32739.0
2019,Total,Rate,4.8,5.0,4.8,4.6
2019,Male,Number,185296.0,45231.0,125634.0,14431.0
2019,Male,Rate,3.3,4.0,3.2,4.1
2019,Female,Number,226022.0,43892.0,163822.0,18308.0
2019,Female,Rate,7.4,6.8,7.7,5.3
2020,Total,Number,467513.0,75282.0,373018.0,19212.0
2020,Total,Rate,5.5,5.6,5.6,4.8
2020,Male,Number,225057.0,40627.0,172620.0,11810.0
2020,Male,Rate,4.0,4.4,3.9,5.0
2020,Female,Number,242456.0,34655.0,200399.0,7402.0
2020,Female,Rate,8.5,8.0,8.8,4.4
2021,Total,Number,439783.0,66846.0,357244.0,15693.0
2021,Total,Rate,5.1,4.9,5.3,3.7
2021,Male,Number,206943.0,31721.0,168301.0,6921.0
2021,Male,Rate,3.8,4.1,3.7,3.3
2021,Female,Number,232840.0,35125.0,188943.0,8772.0
2021,Female,Rate,8.4,7.8,8.9,4.2
2022,Total,Number,401725.0,61234.0,324567.0,15923.0
2022,Total,Rate,4.7,4.6,4.9,3.9
2022,Male,Number,186534.0,28945.0,148612.0,8977.0
2022,Male,Rate,3.4,3.7,3.2,3.5
2022,Female,Number,215191.0,32289.0,175955.0,6946.0
2022,Female,Rate,7.6,7.2,7.9,3.4
2023,Total,Number,412341.0,58123.0,339782.0,14436.0
2023,Total,Rate,4.7,5.1,4.9,3.5
2023,Male,Number,191234.0,26512.0,156789.0,7933.0
2023,Male,Rate,3.4,3.8,3.3,3.0
2023,Female,Number,221107.0,31611.0,182993.0,6503.0
2023,Female,Rate,7.8,7.6,8.1,3.9
2024,Total,Number,381562.0,52841.0,312445.0,16276.0
2024,Total,Rate,4.4,4.8,4.5,3.9
2024,Male,Number,176432.0,24156.0,143892.0,8384.0
2024,Male,Rate,3.1,3.4,3.0,3.1
2024,Female,Number,205130.0,28685.0,168553.0,7892.0
2024,Female,Rate,7.2,7.3,7.2,3.8
