Year,Province,Unemployment_Rate,Paid_Employee,Employer,Own_Account_Worker,Contributing_Family_Worker
2015,Total,4.7,56.8,2.2,34.6,6.4
2015,Western,4.2,64.2,3.4,28.1,4.3
2015,Central,5.3,58.9,2.7,30.1,8.3
2015,Southern,6.5,56.7,1.9,35.8,5.6
2015,Northern,5.1,57.4,1.8,36.2,4.6
2015,Eastern,4.5,61.6,1.6,34.2,2.6
2015,North Western,4.0,50.8,2.1,38.4,8.7
2015,North Central,3.8,40.9,0.8,45.7,12.6
2015,Uva,4.4,43.8,0.5,44.1,11.6
2015,Sabaragamuwa,5.1,53.4,2.1,35.2,9.3
2016,Total,4.4,57.0,2.4,34.2,6.4
2017,Total,4.2,57.4,2.5,33.8,6.3
2018,Total,4.4,57.8,2.6,33.5,6.1
2019,Total,4.8,58.1,2.7,33.2,6.0
2020,Total,5.5,57.5,2.5,33.2,6.8
2020,Western,5.5,65.7,3.7,27.2,3.4
2020,Central,6.4,59.7,3.1,29.2,7.9
2020,Southern,7.7,57.5,2.0,34.6,5.9
2020,Northern,5.2,58.8,1.9,35.3,4.0
2020,Eastern,4.8,62.2,1.8,33.4,2.6
2020,North Western,4.3,51.4,2.4,37.1,9.1
2020,North Central,4.1,41.6,0.9,44.4,13.1
2020,Uva,4.7,44.3,0.6,43.6,11.5
2020,Sabaragamuwa,5.4,54.1,2.3,33.9,9.7
2021,Total,5.1,57.3,2.7,33.4,6.6
2021,Western,4.9,66.0,4.0,26.3,3.6
2021,Central,5.7,58.8,2.8,30.8,7.5
2021,Southern,7.3,58.5,2.8,32.7,6.1
2021,Northern,4.4,58.6,2.5,35.7,3.2
2021,Eastern,5.0,60.7,2.4,34.5,2.4
2021,North Western,3.6,51.8,2.5,36.8,8.8
2021,North Central,4.6,38.9,1.4,46.5,13.2
2021,Uva,5.6,42.0,0.4,44.3,13.3
2021,Sabaragamuwa,4.9,55.3,2.1,35.2,7.5
2022,Total,4.7,58.0,2.9,33.1,5.9
2022,Western,4.9,65.5,4.4,26.9,3.2
2022,Central,5.7,60.1,2.3,30.3,7.3
2022,Southern,5.8,58.8,2.7,33.7,4.8
2022,Northern,4.3,62.4,2.5,32.7,2.4
2022,Eastern,3.9,62.6,2.0,32.0,3.5
2022,North Western,3.7,51.1,3.2,37.9,7.9
2022,North Central,3.7,40.8,1.6,46.4,11.1
2022,Uva,4.4,45.1,0.7,42.3,11.9
2022,Sabaragamuwa,3.8,56.4,2.3,34.7,6.6
2023,Total,4.7,59.0,2.6,32.8,5.5
2023,Western,4.3,67.9,3.7,25.5,2.8
2023,Central,5.4,60.7,2.5,30.3,6.5
2023,Southern,6.5,57.4,2.5,34.3,5.8
2023,Northern,3.4,60.8,3.8,32.4,3.1
2023,Eastern,4.0,65.4,1.9,30.1,2.6
2023,North Western,3.4,51.8,2.7,37.7,7.8
2023,North Central,4.8,42.7,1.2,46.4,9.7
2023,Uva,6.6,43.0,0.6,45.5,10.9
2023,Sabaragamuwa,4.4,58.5,1.5,34.0,6.0
2024,Total,4.4,58.8,2.9,33.1,5.2
2024,Western,3.6,67.8,4.6,25.0,2.6
2024,Central,5.2,61.1,3.0,30.5,5.3
2024,Southern,6.0,58.4,1.9,34.7,5.0
2024,Northern,3.3,59.7,2.2,35.4,2.7
2024,Eastern,4.0,61.1,2.0,34.1,2.8
2024,North Western,3.9,51.9,2.9,38.2,7.0
2024,North Central,3.5,37.8,1.5,49.4,11.2
2024,Uva,5.4,44.9,0.9,42.6,11.6
2024,Sabaragamuwa,4.8,60.7,2.2,32.4,4.8
