Year,Province,Youth_Unemployment_Rate
2015,Total,12.8
2015,Western,11.4
2015,Central,15.6
2015,Southern,18.9
2015,Northern,13.2
2015,Eastern,11.8
2015,North Western,10.6
2015,North Central,10.1
2015,Uva,11.9
2015,Sabaragamuwa,13.7
2016,Total,12.4
2017,Total,11.8
2018,Total,13.1
2019,Total,14.2
2020,Total,26.5
2020,Western,23.5
2020,Central,36.4
2020,Southern,35.8
2020,Northern,20.6
2020,Eastern,19.1
2020,North Western,18.7
2020,North Central,23.6
2020,Uva,32.6
2020,Sabaragamuwa,30.8
2021,Total,26.5
2021,Western,21.7
2021,Central,30.4
2021,Southern,33.4
2021,Northern,16.9
2021,Eastern,21.8
2021,North Western,21.5
2021,North Central,27.8
2021,Uva,38.3
2021,Sabaragamuwa,35.7
2022,Total,22.7
2022,Western,20.3
2022,Central,31.4
2022,Southern,27.8
2022,Northern,15.5
2022,Eastern,13.9
2022,North Western,19.4
2022,North Central,24.5
2022,Uva,24.3
2022,Sabaragamuwa,26.3
2023,Total,23.0
2023,Western,18.7
2023,Central,31.7
2023,Southern,33.3
2023,Northern,14.9
2023,Eastern,16.8
2023,North Western,16.7
2023,North Central,27.8
2023,Uva,34.4
2023,Sabaragamuwa,22.0
2024,Total,22.0
2024,Western,17.9
2024,Central,27.3
2024,Southern,33.2
2024,Northern,11.6
2024,Eastern,16.9
2024,North Western,17.9
2024,North Central,22.3
2024,Uva,29.8
2024,Sabaragamuwa,25.6
