Year,Employment_Status,Total_No,Total_Pct,Male_Pct,Female_Pct
2015,Employee,114799,100.0,81.7,18.3
2015,Employer,16904,100.0,89.9,10.1
2015,Own_Account_Worker,444601,100.0,84.5,15.5
2015,Contributing_Family_Worker,123825,100.0,39.9,60.1
2015,Total,700129,100.0,76.3,23.7
2016,Employee,133870,100.0,78.9,21.1
2016,Employer,23493,100.0,87.5,12.5
2016,Own_Account_Worker,591034,100.0,81.2,18.8
2016,Contributing_Family_Worker,129231,100.0,38.5,61.5
2016,Total,877628,100.0,74.7,25.3
2017,Employee,115110,100.0,79.5,20.5
2017,Employer,20823,100.0,80.1,19.9
2017,Own_Account_Worker,430828,100.0,80.8,19.2
2017,Contributing_Family_Worker,125356,100.0,39.7,60.3
2017,Total,692118,100.0,73.1,26.9
2018,Employee,91450,100.0,83.2,16.8
2018,Employer,12172,100.0,89.4,10.6
2018,Own_Account_Worker,334866,100.0,84.6,15.4
2018,Contributing_Family_Worker,65432,100.0,38.6,61.4
2018,Total,503920,100.0,78.5,21.5
2019,Employee,82564,100.0,86.2,13.8
2019,Employer,11346,100.0,89.5,10.5
2019,Own_Account_Worker,372861,100.0,84.3,15.7
2019,Contributing_Family_Worker,65335,100.0,33.5,66.5
2019,Total,532107,100.0,78.4,21.6
2020,Employee,75307,100.0,86.6,13.4
2020,Employer,10544,100.0,98.0,2.0
2020,Own_Account_Worker,354325,100.0,86.2,13.8
2020,Contributing_Family_Worker,73565,100.0,32.1,67.9
2020,Total,513741,100.0,78.8,21.2
2021,Employee,75877,100.0,84.7,15.3
2021,Employer,10118,100.0,74.7,25.3
2021,Own_Account_Worker,340452,100.0,85.7,14.3
2021,Contributing_Family_Worker,63103,100.0,40.8,59.2
2021,Total,489550,100.0,79.5,20.5
2022,Employee,89768,100.0,85.5,14.5
2022,Employer,11500,100.0,88.5,11.5
2022,Own_Account_Worker,333780,100.0,84.6,15.4
2022,Contributing_Family_Worker,51111,100.0,44.0,56.0
2022,Total,486160,100.0,80.6,19.4
2023,Employee,94951,100.0,85.5,14.5
2023,Employer,15333,100.0,93.6,6.4
2023,Own_Account_Worker,343187,100.0,83.6,16.4
2023,Contributing_Family_Worker,58183,100.0,32.3,67.7
2023,Total,511653,100.0,78.4,21.6
2024,Employee,65686,100.0,84.3,15.7
2024,Employer,5328,100.0,90.0,10.0
2024,Own_Account_Worker,283372,100.0,83.8,16.2
2024,Contributing_Family_Worker,45863,100.0,39.5,60.5
2024,Total,400250,100.0,78.9,21.1
