Year,Sector,Main_Jobs,Main_Jobs_Pct,Secondary_Jobs,Secondary_Jobs_Pct,Total_Jobs,Total_Jobs_Pct
2015,Urban,1196449,15.3,31440,4.5,1227889,14.4
2015,Rural,6264894,80.0,634367,90.6,6899261,80.9
2015,Estate,369633,4.7,34322,4.9,403955,4.7
2015,Total,7830976,100.0,700129,100.0,8531105,100.0
2016,Urban,1251750,15.7,41590,4.7,1293340,14.7
2016,Rural,6338767,79.8,779669,88.8,7118435,80.7
2016,Estate,357166,4.5,56369,6.4,413535,4.7
2016,Total,7947683,100.0,877628,100.0,8825311,100.0
2017,Urban,1348058,16.4,52496,7.6,1400554,15.7
2017,Rural,6459940,78.7,608986,88.0,7068925,79.4
2017,Estate,400182,4.9,30636,4.4,430818,4.8
2017,Total,8208179,100.0,692118,100.0,8900297,100.0
2018,Urban,1353372,16.9,36751,7.3,1390123,16.3
2018,Rural,6288677,78.5,459386,91.2,6748063,79.2
2018,Estate,373117,4.7,7783,1.5,380899,4.5
2018,Total,8015166,100.0,503920,100.0,8519085,100.0
2019,Urban,1354824,16.6,32862,6.2,1387686,15.9
2019,Rural,6427929,78.6,481464,90.5,6909393,79.3
2019,Estate,397939,4.9,17781,3.3,415720,4.8
2019,Total,8180693,100.0,532107,100.0,8712799,100.0
2020,Urban,1280775,16.0,19151,3.7,1299927,15.3
2020,Rural,6333528,79.2,480237,93.5,6813764,80.0
2020,Estate,384790,4.8,14353,2.8,399144,4.7
2020,Total,7999093,100.0,513741,100.0,8512834,100.0
2021,Urban,1307744,16.1,33505,6.8,1341249,15.6
2021,Rural,6393776,78.8,443045,90.5,6836821,79.5
2021,Estate,411987,5.1,13000,2.7,424987,4.9
2021,Total,8113507,100.0,489550,100.0,8603057,100.0
2022,Urban,1298138,15.9,33413,6.9,1331550,15.4
2022,Rural,6455261,79.2,442897,91.1,6898158,79.9
2022,Estate,394331,4.8,9850,2.0,404182,4.7
2022,Total,8147731,100.0,486160,100.0,8633890,100.0
2023,Urban,1308213,16.3,32407,6.3,1340620,15.7
2023,Rural,6349088,79.3,465767,91.0,6814856,80.0
2023,Estate,352615,4.4,13480,2.6,366094,4.3
2023,Total,8009916,100.0,511653,100.0,8521570,100.0
2024,Urban,1287721,16.2,26664,6.7,1314385,15.7
2024,Rural,6319262,79.5,366517,91.6,6685779,80.1
2024,Estate,342768,4.3,7069,1.8,349837,4.2
2024,Total,7949751,100.0,400250,100.0,8350001,100.0
