,coef,se,t,p,ci_lo,ci_hi
const,75.1928,11.6708,6.4428,0.0,50.922,99.4636
Underemployment_Rate.L1,-0.2986,0.1421,-2.1015,0.0478,-0.594,-0.0031
Underemployment_Rate.L2,-0.3416,0.1504,-2.2705,0.0338,-0.6545,-0.0287
Underemployment_Rate.L3,-0.6481,0.1761,-3.6811,0.0014,-1.0142,-0.282
GDP_Growth_Rate.L0,1.5362,0.4303,3.5703,0.0018,0.6414,2.4311
GDP_Growth_Rate.L1,-2.2351,0.4843,-4.6147,0.0001,-3.2423,-1.2279
Inflation_Rate.L0,0.4251,0.2002,2.1237,0.0457,0.0088,0.8414
Inflation_Rate.L1,-0.5174,0.1676,-3.0865,0.0056,-0.866,-0.1688
Youth_LFPR.L0,-10.5845,2.2982,-4.6055,0.0002,-15.3639,-5.8051
Youth_LFPR.L1,16.2699,3.9387,4.1307,0.0005,8.0788,24.4609
Youth_LFPR.L2,-5.8911,1.9678,-2.9937,0.0069,-9.9834,-1.7987
Remittances_USD.L0,-0.0,0.0,-3.9584,0.0007,-0.0,-0.0
