Variable,Coef,SE,t,p,CI_lo,CI_hi
Intercept,0.0123,0.6839,0.018,0.9856,-1.3282,1.3529
ECT,-0.6628,0.203,-3.265,0.0011,-1.0607,-0.2649
dGDP,-0.0256,0.7788,-0.033,0.9738,-1.5519,1.5007
dInfl,-0.0933,0.2561,-0.364,0.7158,-0.5952,0.4087
dYouth,-0.5473,2.4344,-0.225,0.8221,-5.3185,4.224
dRemit,-0.0,0.0,-1.878,0.0603,-0.0,0.0
Crisis_2022,1.0733,2.889,0.372,0.7103,-4.589,6.7356
Q1_c,-2.3494,2.3823,-0.986,0.324,-7.0186,2.3198
Q2_c,2.4746,2.0986,1.179,0.2383,-1.6386,6.5879
Q3_c,-0.3983,1.4363,-0.277,0.7815,-3.2135,2.4168
