,nominal_lkr_usd,real_lkr_usd
2015-12-31,135.8785651161859,135.8785651161859
2016-12-31,145.7413492016317,142.22871636348478
2017-12-31,152.41988384615385,146.13154638776913
2018-12-31,162.4415915034965,148.12642106618424
2019-12-31,178.56854901351252,162.31918284557898
2020-12-31,185.29589935314686,164.7323303024216
2021-12-31,197.8765199795082,173.4762516050657
2022-12-31,321.30942307619165,284.2577433655999
2023-12-31,326.7197347817146,201.02237287357582
2024-12-31,301.6809561011905,163.97316666054613
