,nominal_lkr_usd,real_lkr_usd
2015-01-01,132.417296875,
2015-04-01,133.43999692307693,
2015-07-01,135.5862893939394,
2015-10-01,142.07067727272727,
2016-01-01,144.13923076923075,
2016-04-01,145.6639676923077,
2016-07-01,145.3512075757576,
2016-10-01,147.81099076923078,
2017-01-01,150.74468923076924,
2017-04-01,152.36940153846155,
2017-07-01,153.16383692307693,
2017-10-01,153.4016076923077,
2018-01-01,154.7025046153846,
2018-04-01,157.6371030769231,
2018-07-01,161.50274923076924,
2018-10-01,175.9240090909091,
2019-01-01,179.4491359375,
2019-04-01,175.73646769230768,
2019-07-01,178.13197424242426,
2019-10-01,180.9566181818182,
2020-01-01,182.42222615384617,
2020-04-01,188.26650307692307,
2020-07-01,185.19423939393937,
2020-10-01,185.3006287878788,
2021-01-01,194.22650000000002,
2021-04-01,197.1109375,
2021-07-01,199.0709375,
2021-10-01,201.0977049180328,
2022-01-01,220.73612903225805,
2022-04-01,344.4134920634921,
2022-07-01,357.48921875,
2022-10-01,362.59885245901637,
2023-01-01,350.00693548387096,
2023-04-01,309.9430158730159,
2023-07-01,320.645873015873,
2023-10-01,326.2831147540984,
2024-01-01,312.3445161290323,
2024-04-01,300.6647619047619,
2024-07-01,301.4690625,
2024-10-01,292.24548387096775,
