observation_date,ITNETUSERP2LKA
1990-01-01,0.000000
1991-01-01,
1992-01-01,
1993-01-01,
1994-01-01,0.002770
1995-01-01,0.005480
1996-01-01,0.054500
1997-01-01,0.162000
1998-01-01,0.296000
1999-01-01,0.348000
2000-01-01,0.647410
2001-01-01,0.793822
2002-01-01,1.050420
2003-01-01,1.458580
2004-01-01,1.446160
2005-01-01,1.792050
2006-01-01,2.537570
2007-01-01,3.880000
2008-01-01,
2009-01-01,
2010-01-01,
2011-01-01,
2012-01-01,
2013-01-01,
2014-01-01,10.500000
2015-01-01,15.260000
2016-01-01,22.190000
2017-01-01,25.100000
2018-01-01,28.300000
2019-01-01,32.000000
2020-01-01,36.184700
2021-01-01,44.453100
2022-01-01,48.300000
2023-01-01,51.200000
