observation_date,DEXSLUS
2015-01-01,131.6075
2015-01-02,131.6075
2015-01-05,131.6075
2015-01-06,131.6075
2015-01-07,131.6075
2015-01-08,131.6075
2015-01-09,131.6075
2015-01-12,131.6075
2015-01-13,131.6075
2015-01-14,131.6075
2015-01-15,131.6075
2015-01-16,131.6075
2015-01-19,131.6075
2015-01-20,131.6075
2015-01-21,131.6075
2015-01-22,131.6075
2015-01-23,131.6075
2015-01-26,131.6075
2015-01-27,131.6075
2015-01-28,131.6075
2015-01-29,131.6075
2015-01-30,131.6075
2015-02-02,132.7221
2015-02-03,132.7221
2015-02-04,132.7221
2015-02-05,132.7221
2015-02-06,132.7221
2015-02-09,132.7221
2015-02-10,132.7221
2015-02-11,132.7221
2015-02-12,132.7221
2015-02-13,132.7221
2015-02-16,132.7221
2015-02-17,132.7221
2015-02-18,132.7221
2015-02-19,132.7221
2015-02-20,132.7221
2015-02-23,132.7221
2015-02-24,132.7221
2015-02-25,132.7221
2015-02-26,132.7221
2015-02-27,132.7221
2015-03-02,132.9500
2015-03-03,132.9500
2015-03-04,132.9500
2015-03-05,132.9500
2015-03-06,132.9500
2015-03-09,132.9500
2015-03-10,132.9500
2015-03-11,132.9500
2015-03-12,132.9500
2015-03-13,132.9500
2015-03-16,132.9500
2015-03-17,132.9500
2015-03-18,132.9500
2015-03-19,132.9500
2015-03-20,132.9500
2015-03-23,132.9500
2015-03-24,132.9500
2015-03-25,132.9500
2015-03-26,132.9500
2015-03-27,132.9500
2015-03-30,132.9500
2015-03-31,132.9500
2015-04-01,132.9227
2015-04-02,132.9227
2015-04-03,132.9227
2015-04-06,132.9227
2015-04-07,132.9227
2015-04-08,132.9227
2015-04-09,132.9227
2015-04-10,132.9227
2015-04-13,132.9227
2015-04-14,132.9227
2015-04-15,132.9227
2015-04-16,132.9227
2015-04-17,132.9227
2015-04-20,132.9227
2015-04-21,132.9227
2015-04-22,132.9227
2015-04-23,132.9227
2015-04-24,132.9227
2015-04-27,132.9227
2015-04-28,132.9227
2015-04-29,132.9227
2015-04-30,132.9227
2015-05-01,133.4600
2015-05-04,133.4600
2015-05-05,133.4600
2015-05-06,133.4600
2015-05-07,133.4600
2015-05-08,133.4600
2015-05-11,133.4600
2015-05-12,133.4600
2015-05-13,133.4600
2015-05-14,133.4600
2015-05-15,133.4600
2015-05-18,133.4600
2015-05-19,133.4600
2015-05-20,133.4600
2015-05-21,133.4600
2015-05-22,133.4600
2015-05-25,133.4600
2015-05-26,133.4600
2015-05-27,133.4600
2015-05-28,133.4600
2015-05-29,133.4600
2015-06-01,133.9382
2015-06-02,133.9382
2015-06-03,133.9382
2015-06-04,133.9382
2015-06-05,133.9382
