DATE,VALUE
1973-01-01,6.3704
1974-01-01,6.6808
1975-01-01,6.9808
1976-01-01,8.4196
1977-01-01,8.9048
1978-01-01,15.6701
1979-01-01,15.5705
1980-01-01,16.1672
1981-01-01,18.9671
1982-01-01,20.7563
1983-01-01,23.5108
1984-01-01,25.4289
1985-01-01,27.1879
1986-01-01,28.0322
1987-01-01,29.4715
1988-01-01,31.8236
1989-01-01,36.0199
1990-01-01,40.0781
1991-01-01,41.2001
1992-01-01,44.0129
1993-01-01,48.2106
1994-01-01,49.1695
1995-01-01,51.0473
1996-01-01,55.2887
1997-01-01,59.0262
1998-01-01,65.0055
1999-01-01,70.8681
2000-01-01,76.9644
2001-01-01,89.6017
2002-01-01,95.7727
2003-01-01,96.5413
2004-01-01,101.2676
2005-01-01,100.3826
2006-01-01,103.9403
2007-01-01,110.6196
2008-01-01,108.2977
2009-01-01,114.9088
2010-01-01,112.9899
2011-01-01,110.4694
2012-01-01,127.5394
2013-01-01,129.0458
2014-01-01,130.5363
2015-01-01,135.8695
2016-01-01,145.7347
2017-01-01,152.4346
2018-01-01,162.2534
2019-01-01,178.5137
2020-01-01,185.3319
2021-01-01,197.8963
2022-01-01,321.5261
2023-01-01,326.6297
2024-01-01,301.6752
2025-01-01,300.7330
