Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2025,25.857,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2024,26.317,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2023,26.456,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2022,26.493,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2021,27.276,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2020,27.124,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2019,25.327,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2018,25.498,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2017,26.074,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2016,27.101,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2015,28.662,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2014,28.126,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2013,29.627,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2012,30.994,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2011,30.778,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2010,31.537,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2009,32.225,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2008,32.639,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2007,33.079,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2006,33.840,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2005,34.624,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2004,36.016,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2003,37.332,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2002,37.502,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2001,37.841,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,2000,37.653,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,1999,38.114,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,1998,38.407,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,1997,34.448,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,1996,32.097,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,1995,35.312,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,1994,39.033,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,1993,36.210,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,1992,40.477,"Agriculture, total"
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,Sri Lanka,LKA,1991,39.000,"Agriculture, total"
