Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2025,25.968,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2024,26.375,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2023,26.302,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2022,26.459,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2021,29.197,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2020,29.097,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2019,26.207,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2018,28.437,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2017,29.352,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2016,30.416,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2015,32.328,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2014,31.335,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2013,32.811,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2012,33.846,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2011,36.143,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2010,37.042,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2009,37.871,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2008,38.398,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2007,38.932,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2006,39.864,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2005,40.862,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2004,48.419,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2003,45.548,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2002,46.198,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2001,46.582,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,2000,46.203,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,1999,46.543,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,1998,46.650,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,1997,41.588,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,1996,37.289,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,1995,39.620,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,1994,43.366,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,1993,41.451,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,1992,45.457,"Agriculture, female"
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS,Sri Lanka,LKA,1991,42.430,"Agriculture, female"
