Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2025,25.803,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2024,26.290,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2023,26.528,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2022,26.509,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2021,26.374,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2020,26.204,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2019,24.891,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2018,24.081,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2017,24.377,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2016,25.442,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2015,26.830,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2014,26.557,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2013,28.050,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2012,29.675,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2011,28.200,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2010,28.925,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2009,29.560,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2008,29.928,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2007,30.335,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2006,31.028,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2005,31.753,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2004,30.341,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2003,33.576,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2002,33.500,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2001,33.761,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,2000,33.666,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,1999,34.216,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,1998,34.209,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,1997,31.371,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,1996,29.877,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,1995,33.462,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,1994,37.129,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,1993,33.941,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,1992,38.400,"Agriculture, male"
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,Sri Lanka,LKA,1991,37.436,"Agriculture, male"
