Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2025,26.304,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2024,26.067,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2023,26.264,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2022,26.488,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2021,26.000,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2020,26.912,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2019,27.607,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2018,27.938,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2017,28.405,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2016,26.391,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2015,25.772,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2014,26.345,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2013,25.835,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2012,26.070,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2011,24.809,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2010,24.161,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2009,23.663,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2008,23.482,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2007,23.200,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2006,23.049,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2005,22.558,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2004,21.143,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2003,19.835,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2002,19.395,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2001,19.310,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,2000,19.721,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,1999,19.632,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,1998,19.539,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,1997,20.211,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,1996,19.497,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,1995,21.174,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,1994,17.271,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,1993,17.485,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,1992,16.945,"Industry, total"
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,Sri Lanka,LKA,1991,22.623,"Industry, total"
