Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2025,24.143,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2024,24.112,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2023,24.736,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2022,24.686,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2021,22.876,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2020,25.107,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2019,26.734,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2018,26.112,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2017,27.198,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2016,25.551,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2015,25.437,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2014,26.332,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2013,25.390,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2012,26.012,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2011,24.774,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2010,24.362,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2009,24.099,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2008,24.084,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2007,23.944,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2006,24.807,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2005,24.393,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2004,21.778,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2003,21.903,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2002,21.223,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2001,21.138,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,2000,21.835,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,1999,22.042,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,1998,21.845,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,1997,23.326,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,1996,23.647,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,1995,28.748,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,1994,25.750,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,1993,22.272,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,1992,22.757,"Industry, female"
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,Sri Lanka,LKA,1991,30.339,"Industry, female"
