Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2025,27.348,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2024,27.009,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2023,26.982,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2022,27.362,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2021,27.466,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2020,27.754,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2019,28.039,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2018,28.818,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2017,29.029,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2016,26.812,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2015,25.939,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2014,26.352,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2013,26.055,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2012,26.097,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2011,24.826,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2010,24.066,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2009,23.456,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2008,23.199,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2007,22.851,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2006,22.228,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2005,21.714,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2004,20.853,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2003,18.889,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2002,18.553,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2001,18.457,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,2000,18.735,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,1999,18.518,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,1998,18.364,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,1997,18.869,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,1996,17.722,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,1995,17.922,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,1994,13.546,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,1993,15.413,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,1992,14.521,"Industry, male"
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,Sri Lanka,LKA,1991,19.105,"Industry, male"
