Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2025,47.839,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2024,47.615,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2023,47.280,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2022,47.019,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2021,46.725,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2020,45.964,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2019,47.066,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2018,46.564,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2017,45.522,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2016,46.508,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2015,45.566,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2014,45.528,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2013,44.538,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2012,42.936,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2011,44.413,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2010,44.302,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2009,44.113,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2008,43.878,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2007,43.721,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2006,43.112,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2005,42.818,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2004,42.840,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2003,42.833,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2002,43.103,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2001,42.849,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,2000,42.626,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,1999,42.254,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,1998,42.054,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,1997,45.342,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,1996,48.406,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,1995,43.515,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,1994,43.695,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,1993,46.305,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,1992,42.578,"Services, total"
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,Sri Lanka,LKA,1991,38.377,"Services, total"
