Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2025,49.889,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2024,49.513,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2023,48.961,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2022,48.855,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2021,47.927,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2020,45.795,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2019,47.060,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2018,45.451,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2017,43.449,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2016,44.033,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2015,42.235,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2014,42.333,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2013,41.798,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2012,40.141,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2011,39.082,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2010,38.596,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2009,38.030,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2008,37.518,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2007,37.124,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2006,35.329,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2005,34.746,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2004,29.803,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2003,32.550,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2002,32.579,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2001,32.280,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,2000,31.961,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,1999,31.415,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,1998,31.504,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,1997,35.086,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,1996,39.064,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,1995,31.632,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,1994,30.883,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,1993,36.277,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,1992,31.787,"Services, female"
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,Sri Lanka,LKA,1991,27.231,"Services, female"
