Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2025,46.849,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2024,46.702,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2023,46.490,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2022,46.129,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2021,46.160,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2020,46.042,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2019,47.069,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2018,47.101,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2017,46.594,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2016,47.746,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2015,47.231,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2014,47.091,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2013,45.896,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2012,44.228,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2011,46.975,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2010,47.009,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2009,46.983,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2008,46.873,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2007,46.814,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2006,46.744,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2005,46.532,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2004,48.806,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2003,47.534,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2002,47.947,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2001,47.783,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,2000,47.599,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,1999,47.267,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,1998,47.427,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,1997,49.761,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,1996,52.402,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,1995,48.616,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,1994,49.325,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,1993,50.646,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,1992,47.079,"Services, male"
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS,Sri Lanka,LKA,1991,43.459,"Services, male"
