Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2025,28.985,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2024,28.887,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2023,27.635,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2022,29.624,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2021,28.918,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2020,29.051,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2019,31.555,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2018,30.799,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2017,33.812,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2016,32.842,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2015,32.700,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2014,31.117,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2013,31.666,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2012,30.637,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2011,31.578,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2010,31.426,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2009,31.188,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2008,31.578,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2007,31.466,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2006,31.410,"female, Modeled, 15+"
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,Sri Lanka,LKA,2005,30.922,"female, Modeled, 15+"
