Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2023,29.115,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2022,29.995,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2021,29.282,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2020,29.340,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2019,31.902,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2018,31.177,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2017,34.251,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2016,33.370,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2015,33.150,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2014,31.459,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2013,32.045,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2012,30.890,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2011,31.832,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2010,31.780,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2009,32.170,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2008,31.570,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2005,27.200,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2002,29.200,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,2001,28.200,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,1999,33.600,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,1998,35.550,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,1997,30.640,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,1996,29.780,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,1995,29.160,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,1994,29.310,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,1985,30.230,"female, National, 15+"
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,Sri Lanka,LKA,1981,15.590,"female, National, 15+"
