Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2025,65.900,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2024,65.932,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2023,64.603,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2022,67.073,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2021,67.582,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2020,68.331,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2019,69.817,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2018,69.960,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2017,71.505,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2016,71.797,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2015,71.514,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2014,69.483,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2013,69.747,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2012,72.223,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2011,71.472,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2010,71.641,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2009,71.033,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2008,71.626,"male, Modeled, 15+"
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,Sri Lanka,LKA,2007,71.231,"male, Modeled, 15+"
