Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2023,66.140,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2022,67.899,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2021,68.400,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2020,68.984,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2019,70.549,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2018,70.781,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2017,72.396,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2016,72.896,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2015,72.443,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2014,70.222,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2013,70.552,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2012,72.850,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2011,72.017,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2010,72.416,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2009,68.540,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2008,65.470,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2005,63.400,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2002,63.400,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,2001,62.100,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,1999,71.670,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,1998,71.880,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,1997,69.590,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,1996,69.280,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,1995,68.040,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,1994,69.590,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,1985,72.700,"male, National, 15+"
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,Sri Lanka,LKA,1981,45.970,"male, National, 15+"
