Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2025,46.574,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2024,46.540,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2023,45.254,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2022,47.476,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2021,47.354,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2020,47.786,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2019,49.809,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2018,49.488,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2017,51.807,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2016,51.446,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2015,51.243,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2014,49.454,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2013,49.874,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2012,50.530,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2011,50.690,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2010,50.745,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2009,50.392,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2008,50.945,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2007,50.757,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2006,50.684,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2005,50.260,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2004,50.081,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2003,50.378,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2002,50.288,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2001,50.971,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,2000,51.269,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,1999,52.221,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,1998,53.426,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,1997,49.385,"total, Modeled, 15+"
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Sri Lanka,LKA,1996,49.112,"total, Modeled, 15+"
