Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2023,46.283,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2022,47.475,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2021,47.354,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2020,47.786,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2019,49.809,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2018,49.488,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2017,51.807,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2016,51.446,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2015,51.243,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2014,49.454,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2013,49.874,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2012,50.480,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2011,50.690,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2010,50.745,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2009,49.230,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2008,47.580,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2005,44.600,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2002,45.900,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,2001,45.000,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,1999,52.390,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,1998,53.430,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,1997,49.860,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,1996,49.400,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,1995,48.180,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,1994,49.110,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,1991,42.500,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,1985,51.040,"total, National, 15+"
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,Sri Lanka,LKA,1981,30.930,"total, National, 15+"
