Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2025,13.205,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2024,13.096,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2023,13.026,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2022,13.034,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2021,11.503,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2020,12.834,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2019,15.648,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2018,14.615,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2017,18.279,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2016,16.603,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2015,18.443,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2014,16.555,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2013,17.511,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2012,17.571,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2011,17.607,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2010,18.894,"female, Modeled, 15-24"
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,Sri Lanka,LKA,2009,18.268,"female, Modeled, 15-24"
