Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2023,11.880,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2022,13.101,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2021,11.519,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2020,12.834,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2019,15.459,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2018,14.501,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2017,18.237,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2016,16.518,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2015,18.268,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2014,16.365,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2013,17.408,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2012,17.280,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2011,17.549,"female, National, 15-24"
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,Sri Lanka,LKA,2010,18.867,"female, National, 15-24"
