Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2025,27.086,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2024,27.285,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2023,26.833,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2022,26.162,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2021,27.386,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2020,30.079,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2019,32.712,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2018,32.758,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2017,35.742,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2016,35.300,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2015,35.504,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2014,34.430,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2013,36.613,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2012,38.269,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2011,38.896,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2010,37.988,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2009,38.200,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2008,40.267,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2007,39.788,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2006,40.281,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2005,39.508,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2004,39.834,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2003,40.665,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2002,40.530,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2001,42.791,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,2000,44.541,"male, Modeled, 15-24"
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,Sri Lanka,LKA,1999,46.084,"male, Modeled, 15-24"
