Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2023,25.204,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2022,26.450,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2021,27.600,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2020,30.272,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2019,32.842,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2018,33.032,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2017,36.084,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2016,35.601,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2015,35.659,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2014,34.528,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2013,37.030,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2012,38.390,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2011,39.314,"male, National, 15-24"
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,Sri Lanka,LKA,2010,38.381,"male, National, 15-24"
