Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2025,20.226,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2024,20.274,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2023,20.012,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2022,19.677,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2021,19.539,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2020,21.555,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2019,24.270,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2018,23.768,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2017,27.071,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2016,25.989,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2015,26.977,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2014,25.459,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2013,26.984,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2012,27.789,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2011,28.090,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2010,28.296,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2009,28.098,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2008,29.649,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2007,29.320,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2006,29.745,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2005,28.240,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2004,28.630,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2003,29.551,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2002,29.792,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2001,31.935,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,2000,33.136,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,1999,34.921,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,1998,36.500,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,1997,30.016,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,1996,29.578,"total, Modeled, 15-24"
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,Sri Lanka,LKA,1995,28.588,"total, Modeled, 15-24"
