Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2023,18.488,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2022,19.589,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2021,19.404,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2020,21.417,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2019,24.083,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2018,23.597,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2017,26.863,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2016,25.669,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2015,26.667,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2014,25.163,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2013,26.814,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2012,27.620,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2011,28.067,"total, National, 15-24"
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,Sri Lanka,LKA,2010,28.188,"total, National, 15-24"
