Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2025,2798376.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2024,2772829.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2023,2650740.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2022,2836120.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2021,2795609.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2020,2782805.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2019,2963885.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2018,2851965.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2017,3066143.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2016,2949869.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2015,2913798.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2014,2706478.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2013,2727781.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2012,2697604.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2011,2774671.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2010,2748164.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2009,2738638.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2008,2728136.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2007,2717188.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2006,2706313.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2005,2696134.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2004,2686557.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2003,2674563.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2002,2659137.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2001,2633902.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,2000,2593799.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,1999,2621294.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,1998,2805579.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,1997,2332815.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,1996,2285162.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,1995,2227868.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,1994,2307187.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,1993,2232071.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,1992,2122407.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,1991,2291572.000,female
"Labor force, female",SL.TLF.TOTL.FE.IN,Sri Lanka,LKA,1990,2480597.000,female
