Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2025,5569616.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2024,5531876.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2023,5458969.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2022,5691196.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2021,5704698.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2020,5702159.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2019,5733264.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2018,5671384.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2017,5710302.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2016,5655460.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2015,5561525.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2014,5348133.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2013,5305702.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2012,5629169.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2011,5520580.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2010,5550722.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2009,5537054.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2008,5523101.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2007,5505479.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2006,5485790.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2005,5465308.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2004,5443889.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2003,5416936.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2002,5382951.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2001,5325328.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,2000,5232544.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,1999,5260920.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,1998,5093632.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,1997,4907617.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,1996,4792970.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,1995,4596697.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,1994,4604003.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,1993,4468413.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,1992,4382273.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,1991,4318635.000,male
"Labor force, male",SL.TLF.TOTL.MA.IN,Sri Lanka,LKA,1990,4297653.000,male
