Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2025,8367977.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2024,8304691.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2023,8109783.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2022,8527218.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2021,8500316.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2020,8485010.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2019,8697166.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2018,8523299.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2017,8776309.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2016,8605342.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2015,8475356.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2014,8054629.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2013,8033442.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2012,8326733.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2011,8295313.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2010,8298948.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2009,8275626.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2008,8251260.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2007,8222663.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2006,8192105.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2005,8161482.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2004,8130380.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2003,8091441.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2002,8042001.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2001,7959198.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,2000,7826298.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,1999,7882204.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,1998,7899169.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,1997,7240418.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,1996,7078162.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,1995,6824556.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,1994,6911166.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,1993,6700476.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,1992,6504657.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,1991,6610226.000,total
"Labor force, total",SL.TLF.TOTL.IN,Sri Lanka,LKA,1990,6778262.000,total
