Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2025,17.553,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2024,17.604,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2023,17.280,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2022,17.580,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2021,17.639,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2020,19.447,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2019,21.541,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2018,20.527,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2017,23.792,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2016,22.906,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2015,24.749,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2014,22.179,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2013,23.170,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2012,22.732,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2011,23.290,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2010,24.729,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2009,25.379,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2008,26.002,"female, Modeled, 15-24"
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,Sri Lanka,LKA,2007,26.606,"female, Modeled, 15-24"
