Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2023,16.695,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2022,17.711,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2021,17.766,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2020,19.549,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2019,21.507,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2018,20.549,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2017,23.892,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2016,23.057,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2015,24.798,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2014,22.237,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2013,23.184,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2012,22.600,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2011,23.233,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2010,24.769,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2007,30.270,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2005,29.620,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2004,33.180,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2003,34.110,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,2000,30.340,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1999,34.960,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1998,40.380,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1997,32.820,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1996,33.580,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1995,34.900,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1994,40.070,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1993,39.790,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1992,36.720,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1990,45.090,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1986,34.250,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1985,35.800,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1971,34.620,"female, National, 15-24"
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,Sri Lanka,LKA,1963,25.200,"female, National, 15-24"
