Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2025,31.962,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2024,32.320,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2023,32.780,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2022,32.521,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2021,34.524,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2020,38.166,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2019,39.271,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2018,39.096,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2017,41.625,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2016,42.046,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2015,42.046,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2014,40.582,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2013,42.756,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2012,44.338,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2011,44.522,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2010,45.176,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2009,46.178,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2008,47.196,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2007,48.231,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2006,49.283,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2005,50.352,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2004,51.439,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2003,52.537,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2002,53.644,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2001,54.762,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,2000,55.889,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,1999,58.918,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,1998,56.642,"male, Modeled, 15-24"
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,Sri Lanka,LKA,1997,54.246,"male, Modeled, 15-24"
