Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2023,31.188,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2022,32.993,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2021,34.928,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2020,38.572,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2019,39.627,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2018,39.587,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2017,42.253,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2016,42.773,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2015,42.591,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2014,41.032,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2013,43.401,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2012,44.630,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2011,44.972,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2010,45.740,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2007,52.010,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2005,54.140,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2004,55.210,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2003,57.090,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,2000,56.130,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1999,58.850,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1998,57.270,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1997,54.310,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1996,54.300,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1995,51.560,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1994,59.600,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1993,55.100,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1992,59.180,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1990,59.570,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1986,63.700,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1985,64.810,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1971,67.860,"male, National, 15-24"
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,Sri Lanka,LKA,1963,63.850,"male, National, 15-24"
