Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2025,24.841,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2024,25.049,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2023,25.123,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2022,25.140,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2021,26.181,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2020,28.913,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2019,30.499,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2018,29.896,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2017,32.770,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2016,32.514,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2015,33.401,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2014,31.346,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2013,32.883,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2012,33.399,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2011,33.745,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2010,34.797,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2009,35.637,"total, Modeled, 15-24"
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,Sri Lanka,LKA,2008,36.483,"total, Modeled, 15-24"
