Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2023,23.882,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2022,25.138,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2021,26.181,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2020,28.912,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2019,30.496,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2018,29.894,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2017,32.766,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2016,32.511,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2015,33.391,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2014,31.341,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2013,32.876,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2012,33.390,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2011,33.738,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2010,34.786,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2007,40.940,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2005,41.770,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2004,44.280,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2003,45.650,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,2000,43.460,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1999,47.320,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1998,49.020,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1997,43.800,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1996,43.860,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1995,43.170,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1994,49.900,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1993,47.290,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1992,47.960,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1990,52.280,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1986,48.930,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1985,50.250,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1971,51.410,"total, National, 15-24"
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,Sri Lanka,LKA,1963,44.700,"total, National, 15-24"
