Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2023,31.247,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2022,31.984,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2021,31.696,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2020,31.955,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2019,34.396,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2018,33.481,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2017,36.529,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2016,35.774,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2015,35.772,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2014,33.554,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2013,34.247,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2012,32.950,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2011,34.197,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2010,34.319,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2009,35.200,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2008,34.260,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2007,36.960,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2006,35.490,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2005,34.550,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2004,34.730,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2003,35.560,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2002,33.600,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2001,31.900,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,2000,36.490,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,1999,37.650,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,1998,41.390,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,1997,35.310,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,1996,35.470,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,1995,35.790,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,1994,38.050,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,1993,37.850,"female, National, 15+"
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,Sri Lanka,LKA,1992,36.910,"female, National, 15+"
