Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2025,35.445,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2024,35.328,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2023,33.598,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2022,35.722,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2021,35.492,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2020,35.526,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2019,37.979,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2018,36.868,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2017,39.961,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2016,38.997,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2015,39.127,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2014,36.593,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2013,37.033,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2012,35.706,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2011,36.954,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2010,37.127,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2009,37.329,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2008,37.530,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2007,37.736,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2006,37.951,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2005,38.173,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2004,38.405,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2003,38.641,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2002,38.876,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2001,39.118,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,2000,39.374,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,1999,40.794,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,1998,44.817,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,1997,38.148,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,1996,38.391,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,1995,38.516,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,1994,41.024,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,1993,40.757,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,1992,39.893,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,1991,44.322,"female, Modeled, 15-64"
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Sri Lanka,LKA,1990,48.773,"female, Modeled, 15-64"
