Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2025,67.772,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2024,67.937,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2023,66.948,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2022,69.622,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2021,70.141,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2020,71.145,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2019,72.195,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2018,72.114,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2017,73.584,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2016,73.933,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2015,73.716,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2014,71.684,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2013,71.900,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2012,74.294,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2011,73.440,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2010,74.202,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2009,74.303,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2008,74.398,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2007,74.500,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2006,74.608,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2005,74.722,"male, Modeled, 15+"
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,Sri Lanka,LKA,2004,74.840,"male, Modeled, 15+"
