Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2023,68.558,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2022,70.458,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2021,70.962,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2020,71.801,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2019,72.926,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2018,72.932,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2017,74.471,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2016,75.028,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2015,74.638,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2014,72.425,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2013,72.703,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2012,74.980,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2011,73.982,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2010,74.977,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2009,71.640,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2008,67.750,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2007,76.160,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2006,67.790,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2005,75.820,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2004,74.840,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2003,76.780,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2002,67.900,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2001,66.200,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,2000,75.680,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1999,77.470,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1998,76.810,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1997,75.700,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1996,75.590,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1995,74.810,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1994,76.670,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1993,76.230,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1992,76.360,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1990,77.870,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1986,79.390,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1985,80.220,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1981,52.380,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1971,81.210,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1970,45.160,"male, National, 15+"
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,Sri Lanka,LKA,1963,82.110,"male, National, 15+"
