Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2025,73.031,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2024,73.072,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2023,71.860,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2022,74.558,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2021,74.985,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2020,75.790,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2019,76.728,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2018,76.790,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2017,77.855,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2016,78.180,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2015,77.855,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2014,75.962,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2013,75.870,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2012,78.314,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2011,77.546,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2010,77.968,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2009,78.016,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2008,78.066,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2007,78.123,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2006,78.186,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2005,78.257,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2004,78.339,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2003,78.427,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2002,78.522,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2001,78.638,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,2000,78.782,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,1999,81.014,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,1998,80.212,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,1997,79.018,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,1996,79.054,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,1995,77.703,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,1994,79.817,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,1993,79.237,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,1992,79.776,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,1991,80.477,"male, Modeled, 15-64"
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS,Sri Lanka,LKA,1990,81.033,"male, Modeled, 15-64"
