Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2025,48.517,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2024,48.600,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2023,47.400,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2022,49.727,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2021,49.836,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2020,50.495,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2019,52.249,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2018,51.721,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2017,53.991,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2016,53.725,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2015,53.669,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2014,51.599,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2013,52.053,"total, Modeled, 15+"
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,Sri Lanka,LKA,2012,52.570,"total, Modeled, 15+"
