Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2023,48.548,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2022,49.727,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2021,49.836,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2020,50.495,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2019,52.249,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2018,51.721,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2017,53.991,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2016,53.725,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2015,53.669,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2014,51.599,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2013,52.053,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2012,52.570,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2011,52.867,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2010,53.295,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2009,52.290,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2008,50.080,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2007,55.520,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2006,50.940,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2005,54.260,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2004,53.980,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2003,55.630,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2002,50.300,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2001,48.800,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,2000,55.570,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,1999,57.310,"total, National, 15+"
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,Sri Lanka,LKA,1998,58.820,"total, National, 15+"
