Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2025,53.798,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2024,53.743,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2023,52.250,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2022,54.640,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2021,54.717,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2020,55.114,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2019,56.817,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2018,56.264,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2017,58.362,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2016,58.013,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2015,57.912,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2014,55.681,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2013,55.855,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2012,56.349,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2011,56.636,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2010,56.973,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2009,57.154,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2008,57.338,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2007,57.524,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2006,57.715,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2005,57.911,"total, Modeled, 15-64"
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS,Sri Lanka,LKA,2004,58.113,"total, Modeled, 15-64"
