Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2023,34.820,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2022,36.150,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2021,39.840,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2020,44.000,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2019,35.320,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2018,33.740,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2017,32.290,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2016,32.080,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2015,34.200,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2014,29.540,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2013,31.160,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2012,25.780,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2011,37.050,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2010,36.240,female
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,Sri Lanka,LKA,2009,38.690,female
