Indicator Name,Indicator Code,Country Name,Country Code,Year,Value,Disaggregation
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2023,27.620,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2022,29.360,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2021,30.600,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2020,32.990,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2019,22.330,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2018,20.440,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2017,19.330,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2016,18.030,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2015,20.640,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2014,18.670,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2013,19.420,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2012,15.920,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2011,24.170,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2010,24.060,male
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,Sri Lanka,LKA,2009,27.120,male
